0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
Adana,0,0,1,1,0,5,2,2,0,5,5,5,5,2,0,6,6,6,6,6,6,6,2,2,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,25,25,25,25,25,25,12,5,2,0,78,78,78
Adıyaman,0,0,1,1,0,5,2,2,0,5,5,5,5,2,0,15,15,15,7,7,7,3,3,1,1,0,6,6,6,6,6,2,0,16,16,16,16,16,16,16,16,16,16,16,16,16,7,7,7,7,7,3,3,3,3,3,3,3,1,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Afyonkarahisar,0,0,1,1,0,0,5,5,5,2,2,0,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,0,13,13,13,13,6,6,2,2,0,40,40,19,19,19,19,19,19,19,19,19,19,19,19,9,9,4,4,4,1,0,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
Aksaray,0,1,0,3,3,3,3,3,3,3,1,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,2,2,0,9,9,4,1,0,17,17,17,17,17,17,8,8,8,8,8,8,8,8,8,8,8,8,3,1,1,0,30,14,14,14,14,14,6,2,2,0,75,75,75,75,75,75
Amasya,0,1,0,0,4,4,4,4,4,4,4,4,1,1,1,1,0,17,17,17,8,8,8,3,3,3,3,1,1,0,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Ankara,0,1,0,3,3,3,3,3,3,3,1,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,2,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
Antalya,0,0,1,1,0,0,5,5,5,2,2,0,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,0,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
Ardahan,0,0,2,2,2,2,0,1,1,1,0,2,2,0,6,2,2,2,2,2,2,2,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,5,5,5,5,2,2,2,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,14,6,6,6,6,6,2,0,73,73,73,73,73,73,73,73
Artvin,0,0,2,2,2,2,0,7,7,7,7,7,7,7,7,7,7,7,3,3,1,0,22,22,22,22,22,22,22,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,1,1,0,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
Aydın,0,0,1,1,0,0,5,5,5,2,2,0,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,0,13,13,13,13,6,6,2,2,0,20,9,4,4,4,4,4,4,4,4,4,4,1,0,40,40,19,19,19,9,4,4,4,4,4,4,4,1,1,0,1,1,1,0,74,74,74,74,74,74,74
Ağrı,0,0,2,2,2,2,0,1,1,1,0,2,2,0,6,2,2,2,2,2,2,2,0,8,8,8,8,3,3,3,3,3,3,1,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,71,71,71,71,71,71,71,71,71,71
Balıkesir,0,1,0,0,1,1,1,0,2,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,1,1,0,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
Bartın,0,1,0,0,4,4,4,4,4,4,4,4,1,1,1,1,0,1,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,9,9,9,9,9,9,9,9,9,9,4,1,0,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Batman,0,0,1,1,0,5,2,2,0,5,5,5,5,2,0,6,6,6,6,6,6,6,2,2,0,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,1,0,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
Bayburt,0,0,2,2,2,2,0,1,1,1,0,2,2,0,6,2,2,2,2,2,2,2,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,5,5,5,5,2,2,2,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,14,6,6,6,6,6,2,0,70,70,70,70,70,70,70,70
Bilecik,0,1,0,0,1,1,1,0,8,8,3,3,3,3,3,3,3,3,1,0,17,17,17,17,17,17,17,8,8,8,8,8,8,3,1,1,0,6,6,6,6,6,6,6,6,6,6,2,0,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
Bingöl,0,0,1,1,0,5,2,2,0,9,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,1,1,0,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,12,12,12,12,12,12,5,5,5,5,5,5,5,2,2,2,2,2,2,0,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,0,80
Bitlis,0,0,1,1,0,0,6,6,6,6,6,6,6,6,2,0,1,0,15,15,15,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,1,1,0,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,79,79
Bolu,0,1,0,0,1,1,1,0,8,8,3,3,3,3,3,3,3,3,1,0,17,17,17,17,17,17,17,8,8,8,8,8,8,3,1,1,0,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,76,76,76,76,76
Burdur,0,0,1,1,0,0,5,5,5,2,2,0,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,0,13,13,13,13,6,6,2,2,0,20,9,4,4,4,4,4,4,4,4,4,4,1,0,26,26,26,12,12,12,12,12,12,12,12,12,12,12,5,5,5,5,5,5,2,0,37,37,37,37,37
Bursa,0,0,2,2,2,2,0,7,7,7,7,7,7,7,7,7,7,7,3,3,1,0,14,14,6,6,2,2,0,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
Denizli,0,0,1,1,0,0,5,5,5,2,2,0,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,0,13,13,13,13,6,6,2,2,0,20,9,4,4,4,4,4,4,4,4,4,4,1,0,40,40,19,19,19,9,4,4,4,4,4,4,4,1,1,0,1,1,1,0,52,52,52,52,52,52,52
Diyarbakır,0,0,1,1,0,5,2,2,0,9,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,1,1,0,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,12,12,12,12,12,12,5,5,5,5,5,5,5,2,2,2,2,2,2,0,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
Düzce,0,1,0,0,1,1,1,0,8,8,3,3,3,3,3,3,3,3,1,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,9,4,1,0,26,26,26,26,26,26,12,12,12,12,12,12,12,5,5,5,5,5,5,5,5,5,5,5,2,2,2,0,72,72,72,72,72,72,72,72,72
Edirne,0,1,0,0,1,1,1,0,2,0,8,8,8,8,8,8,8,8,8,8,3,1,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,6,2,2,0,15,15,15,15,15,15,15,7,7,7,7,3,3,1,1,1,0,68,68,68,68,68,68,68,68,68,68,68,68,68
Elazığ,0,0,1,1,0,5,2,2,0,9,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,1,1,0,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,12,12,12,12,12,12,5,5,5,5,5,5,5,2,2,2,2,2,2,0,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,0,67
Erzincan,0,0,2,2,2,2,0,1,1,1,0,2,2,0,14,14,14,14,14,14,14,14,6,6,2,2,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,8,8,3,1,1,1,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Erzurum,0,0,2,2,2,2,0,1,1,1,0,2,2,0,14,14,14,14,14,14,14,14,6,6,2,2,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,8,8,3,1,1,1,0,26,26,26,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
Eskişehir,0,1,0,0,1,1,1,0,8,8,3,3,3,3,3,3,3,3,1,0,17,17,17,17,17,17,17,8,8,8,8,8,8,3,1,1,0,6,6,6,6,6,6,6,6,6,6,2,0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
Gaziantep,0,0,1,1,0,5,2,2,0,5,5,5,5,2,0,15,15,15,7,7,7,3,3,1,1,0,6,6,6,6,6,2,0,18,18,18,18,18,18,18,18,18,18,18,18,8,8,8,8,3,3,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,1,0,35,35,35,35,35,35,35,35,35,35
Giresun,0,1,0,0,4,4,4,4,4,4,4,4,1,1,1,1,0,1,0,9,9,9,9,9,9,4,4,4,4,1,1,1,1,0,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,69,69,69,69,69,69,69,69,69,69,69,69
Gümüşhane,0,0,2,2,2,2,0,1,1,1,0,2,2,0,6,2,2,2,2,2,2,2,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,5,5,5,5,2,2,2,0,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
Hakkari,0,1,0,0,1,1,1,0,2,0,8,8,8,8,8,8,8,8,8,8,3,1,1,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Hatay,0,0,1,1,0,5,2,2,0,5,5,5,5,2,0,15,15,15,7,7,7,3,3,1,1,0,26,26,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,5,5,5,5,2,2,2,2,2,0,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
Isparta,0,0,1,1,0,0,5,5,5,2,2,0,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,0,13,13,13,13,6,6,2,2,0,40,40,19,19,19,19,19,19,19,19,19,19,19,19,9,9,4,4,4,1,0,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,77,77,77,77
Iğdır,0,0,2,2,2,2,0,1,1,1,0,2,2,0,6,2,2,2,2,2,2,2,0,8,8,8,8,3,3,3,3,3,3,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,6,2,2,0,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
Kahramanmaraş,0,0,1,1,0,5,2,2,0,5,5,5,5,2,0,15,15,15,7,7,7,3,3,1,1,0,26,26,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,5,5,5,5,2,2,2,2,2,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Karabük,0,1,0,0,4,4,4,4,4,4,4,4,1,1,1,1,0,1,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,9,9,9,9,9,9,9,9,9,9,4,1,0,13,13,13,13,13,13,13,13,6,6,2,0,67,67,67,67,67,67,67,67,67,67,67,67,67,33
Karaman,0,1,0,3,3,3,3,3,3,3,1,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,2,2,0,9,9,4,1,0,17,17,17,17,17,17,8,8,8,8,8,8,8,8,8,8,8,8,3,1,1,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Kars,0,0,2,2,2,2,0,1,1,1,0,2,2,0,6,2,2,2,2,2,2,2,0,8,8,8,8,3,3,3,3,3,3,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,6,2,2,0,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
Kastamonu,0,1,0,0,4,4,4,4,4,4,4,4,1,1,1,1,0,1,0,9,9,9,9,9,9,4,4,4,4,1,1,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,1,1,0,9,9,4,4,1,1,0,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
Kayseri,0,1,0,3,3,3,3,3,3,3,1,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,2,0,2,2,2,0,36,36,36,36,36,36,36,36,36,36,36,36,36,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Kilis,0,0,1,1,0,5,2,2,0,5,5,5,5,2,0,15,15,15,7,7,7,3,3,1,1,0,6,6,6,6,6,2,0,18,18,18,18,18,18,18,18,18,18,18,18,8,8,8,8,3,3,1,0,26,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
Kocaeli,0,1,0,0,1,1,1,0,8,8,3,3,3,3,3,3,3,3,1,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,9,4,1,0,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
Konya,0,1,0,3,3,3,3,3,3,3,1,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,2,2,0,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,38,38,38,38
Kütahya,0,0,1,1,0,0,5,5,5,2,2,0,4,4,4,4,4,4,4,1,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
