0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
Adana,0,0,1,0,4,4,1,1,0,4,1,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,28,28,28,28,28,28,28,28,28,28,13,13,13,13,13,6,2,2,0,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
Adıyaman,0,0,1,0,4,4,1,1,0,4,1,1,0,9,9,9,9,9,9,9,20,20,20,20,20,20,20,20,20,20,20,9,9,9,4,4,4,4,4,1,0,20,20,20,20,20,20,20,20,20,20,20,20,20,9,4,4,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,6,6,6,6,6,6,2,0,80
Afyonkarahisar,0,0,1,0,0,2,2,2,2,2,2,0,3,3,3,3,1,0,11,11,11,11,11,11,11,11,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,0,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
Aksaray,0,0,2,2,2,0,4,4,4,1,0,11,11,11,11,11,11,11,5,5,5,5,5,5,5,2,2,0,9,9,9,4,4,1,0,13,13,13,6,6,6,6,6,2,0,10,10,10,10,10,10,10,10,4,1,0,11,11,11,5,5,5,2,2,0,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
Amasya,0,1,0,3,3,3,3,3,1,0,9,9,9,4,4,4,4,1,1,0,7,7,3,1,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,12,12,5,5,2,2,0,71,71,71,71,71,71,71,71,71,71
Ankara,0,0,2,2,2,0,4,4,4,1,0,5,5,5,5,2,2,2,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,79,79
Antalya,0,0,1,0,0,2,2,2,2,2,2,0,12,12,12,5,5,5,2,2,2,0,7,3,1,1,0,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Ardahan,0,1,0,1,1,1,0,0,7,7,7,7,7,7,7,7,3,3,3,1,0,6,6,6,6,6,6,6,6,2,2,2,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,1,0,75,75,75,75,75,75
Artvin,0,0,2,2,2,0,6,6,6,6,6,6,6,6,2,0,7,7,7,7,3,3,1,0,15,15,15,15,15,15,15,15,15,15,15,15,7,7,7,7,3,3,1,1,1,0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
Aydın,0,0,1,0,0,2,2,2,2,2,2,0,12,12,12,5,5,5,2,2,2,0,7,3,1,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,24,24,24,24,24,24,24,24,24,24,11,11,11,11,11,11,11,11,11,11,11,5,5,5,5,5,5,2,0,78,78,78
Ağrı,0,1,0,1,1,1,0,0,7,7,7,7,7,7,7,7,3,3,3,1,0,21,21,21,21,21,21,21,21,21,21,21,21,10,10,10,10,10,10,4,4,1,0,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
Balıkesir,0,0,1,0,0,2,2,2,2,2,2,0,12,12,12,5,5,5,2,2,2,0,4,4,4,4,1,1,0,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,14,14,6,2,2,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Bartın,0,1,0,3,3,3,3,3,1,0,10,10,10,10,10,10,10,10,10,10,10,10,22,22,22,22,10,10,10,10,10,10,10,4,1,1,0,17,17,17,17,17,8,8,8,8,8,8,3,3,3,3,1,0,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
Batman,0,1,0,1,1,1,0,7,3,3,3,3,1,0,6,6,6,6,6,6,6,2,2,2,2,0,22,22,22,22,22,22,22,22,22,22,22,22,22,10,10,4,4,4,4,1,1,1,0,11,11,11,11,11,11,11,5,5,5,2,2,2,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
Bayburt,0,0,2,2,2,0,6,6,6,6,6,6,6,6,2,0,7,7,7,7,3,3,1,0,15,15,15,15,15,15,15,15,15,15,15,15,7,7,7,7,3,3,1,1,1,0,29,29,29,29,29,29,29,29,29,29,29,29,29,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
Bilecik,0,0,1,0,0,5,5,5,5,5,5,2,2,2,0,12,12,12,12,12,12,12,12,12,12,5,5,2,2,0,7,7,7,7,7,7,3,1,1,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Bingöl,0,0,1,0,4,4,1,1,0,9,4,4,4,1,1,1,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,8,8,8,8,8,3,3,3,3,3,3,1,1,1,1,0,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
Bitlis,0,1,0,1,1,1,0,7,3,3,3,3,1,0,6,6,6,6,6,6,6,2,2,2,2,0,22,22,22,22,22,22,22,22,22,22,22,22,22,10,10,4,4,4,4,1,1,1,0,5,5,5,5,5,5,5,2,2,2,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Bolu,0,1,0,3,3,3,3,3,1,0,10,10,10,10,10,10,10,10,10,10,10,10,22,22,22,22,10,10,10,10,10,10,10,4,1,1,0,18,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,18,18,8,8,8,8,8,8,3,3,3,3,3,1,0,76,76,76,76,76
