0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
Adana,0,0,2,2,2,2,0,7,3,3,3,3,3,1,0,12,12,12,5,5,5,5,5,5,5,5,2,0,4,4,4,4,4,4,1,1,1,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,8,3,3,1,0,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
Adıyaman,0,0,2,2,2,2,0,7,3,3,3,3,3,1,0,12,12,12,5,5,5,5,5,5,5,5,2,0,4,4,4,4,4,4,1,1,1,0,3,3,3,3,1,1,1,0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
Afyonkarahisar,0,0,1,1,0,5,5,5,5,5,5,5,5,5,5,2,0,2,0,9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,9,9,9,9,9,9,9,9,4,4,4,4,1,0,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
Aksaray,0,0,1,1,0,0,2,2,2,0,4,4,4,4,4,4,4,4,4,1,0,7,7,3,1,1,1,1,0,29,29,29,29,29,29,29,29,29,29,29,29,29,29,14,6,6,2,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,4,1,1,0,71,71,71,71,71,71,71,71,71,71
Amasya,0,1,0,3,3,3,3,3,1,1,0,11,11,11,11,11,5,5,2,2,2,2,0,11,11,11,11,5,5,5,5,5,5,2,2,0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,73,73,73,73,73,73,73,73
Ankara,0,0,1,1,0,0,2,2,2,0,10,10,10,10,10,10,10,10,10,10,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
Antalya,0,0,1,1,0,5,5,5,5,5,5,5,5,5,5,2,0,2,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,79,79
Ardahan,0,1,0,0,4,4,4,1,0,9,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,1,1,0,17,8,8,8,8,8,3,1,1,0,4,4,4,4,4,4,4,1,1,1,1,0,7,7,7,7,7,7,7,7,7,7,7,3,3,1,1,0,69,69,69,69,69,69,69,69,69,69,69,69
Artvin,0,1,0,0,4,4,4,1,0,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,0,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
Aydın,0,0,1,1,0,5,5,5,5,5,5,5,5,5,5,2,0,17,17,17,8,8,8,8,8,8,8,8,8,8,8,3,1,1,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,8,8,3,1,0,15,15,15,15,15,15,7,7,3,3,3,1,0,39,80
