0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
Adana,0,1,1,1,0,0,6,6,6,6,6,6,2,2,2,2,0,7,7,7,7,7,3,3,1,0,22,22,22,22,22,10,10,10,10,10,10,10,4,4,4,4,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,1,0,74,74,74,74,74,74,74
Adıyaman,0,1,1,1,0,0,6,6,6,6,6,6,2,2,2,2,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,8,8,8,8,8,8,8,3,3,3,1,0,7,7,3,3,3,1,0,3,3,1,0,30,30,14,14,14,14,14,14,14,14,14,14,14,14,6,2,0,77,77,77,77
Afyonkarahisar,0,1,1,1,0,5,5,5,5,5,5,5,5,5,5,5,2,2,2,0,5,5,5,2,2,2,2,2,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,8,8,8,8,3,1,1,0,9,9,9,4,4,4,4,1,1,0,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
Aksaray,0,0,0,2,2,2,2,2,0,4,4,4,4,1,0,15,15,15,15,15,15,15,15,15,7,7,7,3,3,1,1,0,12,12,12,12,12,12,12,12,5,5,5,2,2,2,0,15,15,15,15,7,7,7,3,3,1,1,0,9,9,9,9,9,9,9,4,4,4,4,1,1,0,73,73,73,73,73,73,73,73
Amasya,0,0,0,3,3,3,3,3,3,3,1,0,6,6,6,6,6,6,6,2,0,10,10,10,10,10,4,4,4,4,4,1,1,1,1,0,23,23,23,23,23,23,23,11,11,11,11,11,11,11,5,5,5,2,2,2,2,0,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
Ankara,0,0,0,2,2,2,2,2,0,9,9,9,9,9,9,9,9,9,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,79,79
Antalya,0,1,1,1,0,5,5,5,5,5,5,5,5,5,5,5,2,2,2,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,4,1,1,0,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
Ardahan,0,0,2,0,1,1,0,7,7,7,3,1,1,0,7,7,7,3,3,3,3,1,0,23,23,23,23,23,23,23,23,23,23,23,23,23,11,11,11,5,2,0,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
Artvin,0,0,2,0,1,1,0,7,7,7,3,1,1,0,14,14,14,14,14,6,6,6,6,6,6,6,6,6,6,6,2,2,0,13,6,6,6,6,6,6,6,2,2,0,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
Aydın,0,1,1,1,0,5,5,5,5,5,5,5,5,5,5,5,2,2,2,0,5,5,5,2,2,2,2,2,0,14,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,14,14,6,2,2,2,2,0,13,13,13,13,13,13,13,13,13,6,2,0,80
Ağrı,0,0,2,0,1,1,0,7,7,7,3,1,1,0,7,7,7,3,3,3,3,1,0,12,12,12,12,12,5,5,5,5,2,0,28,28,28,28,28,28,28,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,2,0,70,70,70,70,70,70,70,70,70,70,70
Balıkesir,0,0,2,0,4,4,1,0,2,2,2,2,0,4,4,4,4,4,1,1,1,0,7,7,3,1,0,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Bartın,0,0,0,3,3,3,3,3,3,3,1,0,12,12,12,12,5,5,5,5,2,2,2,0,15,15,15,7,7,7,7,7,7,7,7,3,3,1,0,24,24,24,24,24,24,24,24,24,24,24,11,11,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,0,2,2,0,72,72,72,72,72,72,72,72,72
Batman,0,1,1,1,0,0,4,1,1,0,7,7,7,7,3,1,1,0,18,18,18,18,18,18,18,18,18,18,18,8,8,8,8,8,8,8,8,3,3,3,3,3,3,3,1,0,6,6,6,6,6,6,6,6,6,6,6,2,2,2,0,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
Bayburt,0,0,2,0,1,1,0,7,7,7,3,1,1,0,7,7,7,3,3,3,3,1,0,23,23,23,23,23,23,23,23,23,23,23,23,23,11,11,11,5,2,0,9,9,9,9,9,9,9,9,9,9,4,4,4,1,0,14,14,14,6,6,2,0,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
Bilecik,0,0,2,0,4,4,1,0,2,2,2,2,0,4,4,4,4,4,1,1,1,0,7,7,3,1,0,15,15,15,15,15,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,15,15,15,7,7,7,7,3,3,3,1,1,1,0,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
Bingöl,0,1,1,1,0,0,4,1,1,0,7,7,7,7,3,1,1,0,4,4,4,4,4,4,4,4,1,0,12,12,12,12,5,5,5,5,2,2,2,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,5,5,2,2,2,0,75,75,75,75,75,75
Bitlis,0,1,1,1,0,0,4,1,1,0,7,7,7,7,3,1,1,0,18,18,18,18,18,18,18,18,18,18,18,8,8,8,8,8,8,8,8,3,3,3,3,3,3,3,1,0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
Bolu,0,0,0,3,3,3,3,3,3,3,1,0,6,6,6,6,6,6,6,2,0,8,8,8,8,3,3,1,1,0,13,13,13,6,2,2,0,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,76,76,76,76,76
