,0,1,2,3,4,5,6,7,8
Balıkesir,0.15982036486122936,0.4453638373057243,-0.5793248796373248,-0.17770762890647973,-0.12008246848206171,-0.35663809206163394,-0.25864236560019804,-0.3748788387435693,0.24468477862441337
Manisa,0.24069300272815838,0.1365413726182901,-0.15462799045676634,-0.11471636730357217,-0.147344198547239,-0.5886667464028643,0.18299196700357107,-0.19077891787020687,0.6695014301579671
Yalova,-0.15120909775955493,-0.5264057717213948,-0.08273698378600343,-0.13616927943823492,0.11307410741228446,0.14378084715912443,-0.5003203901249426,-0.52626222964978,0.3375117452723638
Çanakkale,0.12452873984510175,-0.037768714467761325,-0.9397751754325707,0.05313133349977624,-0.18996606282608763,-0.0995956454186574,-0.11795749110573678,-0.07309234725715155,0.17833378719058035
Edirne,0.13897091350014149,-0.13526231198622315,-0.8736679716899926,-0.032148570272278666,-0.22562274918458672,-0.11490781587794822,0.07218889007162674,-0.047438834592570076,-0.3556554889958729
Aydın,0.22212332899394188,0.2908319153273761,0.07209377205583267,-0.022643239679591545,-0.07929698371774788,-0.569781644194948,0.23752706491020711,-0.26955044709202486,0.632733839533364
Çorum,-0.2031892432418136,0.22415770346111819,0.4259028634312935,0.3865895317901161,-0.5595079605028107,0.08486877173000977,0.18996430935282993,-0.39009893860316164,-0.2628825844992254
Bartın,0.005250449806079544,-0.20824136542473728,-0.4963061299335087,0.6166046729849518,-0.1567203999617815,0.12185960878738757,0.36846170836965164,-0.3415402317111697,-0.19560690355000196
Denizli,0.3403856730855014,0.12360538382500322,0.14968934555624466,0.07085798471827916,-0.008992632647478377,-0.6316332463787973,0.304981559300286,-0.09763640268163275,0.5829609802220174
Giresun,0.11808365546478385,-0.6383670228079622,0.3271041027692894,0.00789161880910539,0.0790830472246683,0.06753146614076624,-0.24712345763422058,-0.461312216514785,-0.4321930484298711
Afyonkarahisar,0.1694659903423107,-0.04584420445228608,0.13046246494527233,0.22895435555570426,-0.08445094945004022,-0.6095991436539069,0.13781636271201375,-0.08084830738363537,0.7038935700113714
Samsun,0.01223180327434537,-0.4668124592936702,0.3237466646682636,0.1546101605954691,-0.2685882652854321,0.13725169031544257,-0.18348030713286992,-0.5617383062047566,-0.4615492126380731
Amasya,-0.01055542370982315,0.08947883268372457,0.49004775254971794,0.03549028054318071,-0.2797793193572596,-0.08389356827712677,0.17319842405375044,-0.6461902631765104,-0.4664778805931635
Kütahya,0.033779993032942796,-0.014428833340482103,-0.02774897029187176,0.1296168229753469,0.036012423510150104,-0.41470853623537834,0.242095868041949,-0.35885225270747695,0.7876641298287387
Bingöl,-0.13232506110392817,0.4212935396516793,0.12001319494872172,-0.19132590079227552,0.4407525704625656,0.613734851218856,0.1952025456620833,-0.25779909909332943,0.28017023232232274
Ordu,-0.033600713224924354,-0.48712805550124877,0.20515402476546749,0.05724276567232426,-0.29806823922077996,-0.10042330827348395,-0.08567011665768788,-0.5463195063991325,-0.558102547456971
Şanlıurfa,-0.4225990332823392,0.00542857384456231,0.17624662820258458,-0.5710619456160244,0.1089688264952908,0.09175568376845536,0.4459917490079989,0.4776082893553696,0.12997822539007167
