,0,1,2,3,4,5,6,7,8,9,10
Balıkesir,-0.09952632594389482,-0.053316945441775565,-0.09645776235350882,0.19086481996748772,-0.7028725040802783,0.039678087022513464,0.37404844586560615,-0.25644907278447177,0.42502054630726377,0.03444435017282656,-0.2416753647828215
Manisa,-0.2746340845120013,0.4396521230386463,-0.17898752133538345,0.005435206648053395,-0.6131114405691569,0.05303277502190349,0.3185215190776227,0.08293667152724593,-0.026777959527215477,0.3885573082829754,-0.24590577819030107
Yalova,0.13973784587073682,-0.2563857502810703,-0.33375869000990965,-0.33143795572424656,0.1577187224026177,0.04671143460830284,0.6134395860207003,0.14567745048871997,0.3506043975038199,-0.06424533482067656,-0.3766372186063952
Çanakkale,-0.1322662777208465,-0.012518130243075527,0.12832601457578646,0.2963810914133106,-0.3989395400924233,-0.1105942167723138,-0.05470086588636349,-0.1837939359569138,0.7405548638909495,-0.07186790712843664,-0.3410232767207939
Edirne,0.1028906970655614,0.06669700149102666,0.23946104233008403,0.1262034760038066,-0.4929476203721219,-0.02117613132846869,-0.048397326482533316,-0.5367942318110108,0.3315388248143876,0.04892837908624522,-0.515216453712509
Aydın,-0.752972444435982,0.22317886897313208,0.06188685348579641,0.07560706122778671,-0.416607013638976,0.02075239780673337,0.16719459746405316,0.33386388044458876,-0.24402614358988853,-0.015216047487679569,0.022040944875434704
Çorum,0.18028611323325053,0.5230070327273996,0.31239635800270144,-0.532596507636304,-0.05199970854759313,-0.00951756714479696,-0.049463630961006796,-0.018737369712690632,0.1895807855826224,-0.29123288612120735,0.43169465464328965
Bartın,0.5274731348375553,0.5458729084429317,-0.017605812674076682,0.013477541272368613,-0.14005371220931004,0.45301915971547646,0.0798502926481744,0.008367046803797571,-0.11283913960426628,-0.3543963302911404,-0.23170313477040977
Denizli,-0.47331749997659983,0.18046573839902466,0.09734072685868377,0.16787783455006014,-0.6727780245327052,0.055845831360018756,0.12226122325642085,0.31401808930947095,-0.2551299285720925,0.258099959351368,-0.06879980574737517
Giresun,0.4890008234912133,-0.1846094678042375,0.569404899065557,-0.3433199259450711,-0.08994423886885668,-0.032877702384675876,0.16623702403300838,-0.23922591271464433,0.2885774285992384,-0.246170263804534,-0.21632291237713283
Afyonkarahisar,-0.5472461360282878,0.06095504136591405,0.02374010364677386,0.21435625552160711,-0.3969419218849462,-0.01868769074257172,0.02365737302687263,0.6672467658343773,-0.1291343816760274,-0.13347095342152215,0.1100623997726345
Samsun,0.3254769497006404,0.04197742251620371,0.5681667339449559,-0.20559023766425877,0.000252785551675765,-0.24523531223866843,0.07677042708643887,-0.06746120970416815,0.5076632352873224,-0.4454834867194847,0.02142976590358706
Amasya,-0.05402840328205876,0.09372206791451171,0.5279658693500187,-0.2527255336266889,0.07680031199068403,-0.15202111060741977,-0.12491009620687431,-0.3080541729727248,0.4625418786276293,-0.3810668543952816,0.3834232680258361
Kütahya,-0.4418231085649005,0.012741355146790881,-0.12724201463709695,0.13696100137384792,-0.5365793386772978,0.13380011361522867,0.30006641439375203,0.495995811514421,0.3061210691775893,-0.09188926234755297,-0.16017444148753746
Bingöl,-0.36782254179261137,-0.17747142025332502,-0.3247443506449477,-0.3843944378898716,0.5051969433685536,0.1478820843970149,0.24464626313127774,-0.37091764058419263,0.029397808129126922,0.21034301023520177,0.24568135841620156
Ordu,0.365935466976106,0.15696635925938526,0.6694857682651665,-0.36695966999359264,-0.08755798310318805,-0.09548682381596311,-0.006205207515510559,-0.21055198138341255,0.06569549366242033,-0.40904033466208,-0.16061610784121635
Şanlıurfa,0.1423193041484167,-0.33688779752865444,0.03709668599162528,-0.06334697867785126,0.32887516079784884,0.2867945733689319,0.0011933780703499985,0.41790968225316905,0.19392204363967455,0.6663368811067704,0.1191314409192675
Elazığ,-0.40309122790556945,-0.17018534641272476,-0.22276353030096294,-0.32671594458424785,0.39346618121586074,0.2783569957139904,0.165220067927002,-0.4431144022715353,-0.03126579031519367,0.1022295787001849,0.42989856640748514
Mersin,-0.04947540421824996,-0.3442719156172991,-0.5207708570812809,-0.13279211918346756,0.30669275304845695,0.0958227713785666,-0.5801281587188495,0.2902241871948152,-0.025819904278302684,0.25438861698842946,-0.028134612552480575
