,0,1,2,3,4,5
Balıkesir,0.31445603731207045,-0.5266958428112626,0.4008066559451413,-0.1356290213534786,0.10152306366651959,0.659060505889907
Manisa,0.5021851124539899,-0.4406696372225605,0.32716742552301,0.08554679829409405,0.137969730175105,0.6482499195475433
Yalova,-0.6762227569753644,0.16098055021646232,-0.22450593844343567,-0.021315752068474438,-0.19208765821576396,0.6550214494802546
Çanakkale,0.5682985640599474,-0.21454129332346314,0.07026089670510208,-0.042279515019003656,0.5511049349853223,0.5661872262646658
Edirne,0.3735878567102846,0.17490061584756228,-0.6061352523431851,0.03752042581325008,0.6184432728889986,0.2802892784727203
Aydın,0.3579670875155772,-0.49051554574228595,0.485316090498963,-0.03259285235812927,-0.02791080431323656,0.6275994334934635
Çorum,-0.8054293473039066,-0.24200836223544658,0.06185053289736679,-0.5311229308204266,-0.07747134303595478,-0.02822506076092424
Bartın,-0.05169382187433243,0.44625230297390517,-0.5065031270812824,-0.5690962477400686,0.2094615343867647,0.41700904012732176
Denizli,0.5181508736016818,-0.324872297851569,0.49420685330912634,0.06706860061680808,0.17695769321213284,0.588153913564377
Giresun,-0.5602279620692091,-0.40249377773752915,-0.2534012273065213,-0.30458757607151454,0.4529206446327353,-0.4025177083884015
Afyonkarahisar,0.4566095638259776,-0.2386880183997013,0.5862617314009544,-0.24161980128837374,0.056498505418519376,0.5738124335535715
Samsun,-0.6326219802692622,-0.38251955364210954,-0.1654760697790308,-0.4425008492240823,0.3758751402500829,-0.29832326236830947
Amasya,-0.5994858909539993,-0.5055676260323734,-0.025894945079209936,-0.35390686216591594,0.2423638466072547,-0.44761277086789636
Kütahya,0.3152886638474715,-0.31483659410001513,0.46947733577376216,-0.25514413330028907,0.029319672082121395,0.7177073475526023
Bingöl,0.18147651927076314,-0.20365755485751774,-0.4187746338580552,0.392433869463758,-0.7364487890187841,-0.23207007258659176
Ordu,-0.32662820141902393,-0.22024480577408123,-0.34188530250755583,-0.5928867428748541,0.5960062045742549,-0.14554242587255084
Şanlıurfa,0.4207646967563694,-0.14665339409456127,-0.13627857331973808,0.18185771420858324,-0.810995998611226,-0.30346542543989063
Elazığ,0.1411233162012824,-0.31250935564867793,-0.31096342243933056,0.3011073391292605,-0.7579445249662577,-0.3472439049967482
Mersin,0.34859478418887657,0.4304565089144114,0.3513199783129651,0.22497496244788814,-0.46622962856184025,-0.549344466551149
Kocaeli,-0.8734197188353984,0.1011458042536951,-0.11203282620894688,-0.1517018182734388,-0.06936938398946751,0.4318919005728832
Iğdır,-0.06960275061116225,-0.0014688416050280325,-0.12060413146135096,0.833612055467124,0.5100182441559847,0.15993834654039646
Şırnak,0.2837321714840955,-0.2264554795081983,-0.36899639710910215,0.2695568827959384,-0.7731377627140456,-0.24829965040046084
Ankara,-0.7176815112441488,0.2377824764759635,0.24952584866043215,-0.1859844345621453,-0.4930427068127315,0.29740254287570905
Van,-0.027402717189408777,0.06828851439843905,-0.13282236904118566,0.9766343613397528,-0.0802426928261457,0.12919141872694376
Tekirdağ,0.26119960490604466,0.0827425627331126,-0.5420934862433424,0.019458026583304033,0.7917421640093631,0.06187744187566628
Diyarbakır,0.37445975906669593,-0.32779995409802204,-0.2495989428149489,0.37298743828334563,-0.7360420559708379,-0.095655158793222
Adana,0.33435649239276455,0.505289849180204,0.3213127139166955,0.18286739687077241,-0.44545387176030027,-0.5456889292272732
Düzce,-0.4015946012015291,0.4077583072495092,-0.4772959526917577,-0.5027457239244972,0.043081537642428475,0.43592915810813215
Çankırı,-0.18984502387794489,0.2186977159566574,-0.5925628216293407,-0.7012955285074235,0.27049561921094095,-0.004022443285114517
Burdur,0.5817854324726912,-0.35332161404374834,0.5123844813464914,-0.05243056715934091,0.24315251115014555,0.4607380848552692
Kars,-0.30745499253571745,0.03340823833017631,0.02484743180393009,0.8925321708519873,0.290341628865843,0.15108270864348777
Kastamonu,-0.03853438170461795,0.4336320701064529,-0.6268916221686398,-0.4978013730427723,0.35427737970347645,0.21015840331468125
Kayseri,-0.025470836370502264,0.47515651353396465,0.5943333442716036,-0.002314502529602243,-0.02540290996367086,-0.6478385101791828
Artvin,-0.8289836669280848,-0.35605712853825106,0.21716109982562967,-0.0015349378498938303,0.24555780197158797,-0.28026677962749025
Kırklareli,0.3775591055554877,0.22408776378738807,-0.5517391377542192,-0.0302368078052408,0.6679900528367085,0.23599310279772742
Gümüşhane,-0.6749979292095025,-0.43626603259215413,0.0173660149578277,0.00541641505258292,0.4567408422071987,-0.38092864345111593
Sivas,-0.5484187211939792,-0.40366619682401605,0.20787499851613905,-0.3134428554763538,0.17368742950445734,-0.6038747767215273
Antalya,0.38546328227920196,-0.2666121802716368,0.8100800388034143,-0.23008009469075494,-0.17341390284305533,0.20272420281121084
Erzurum,-0.5247926361756028,-0.10298198234289202,0.157180083943743,0.7693495529962014,0.31190828804699583,0.009813597310142076
İstanbul,0.12965161182487633,0.10163058182428135,-0.79506781776626,0.15182358949198876,0.5407885642353802,-0.1588275039395586
Bursa,-0.7328327546806258,-0.15688058688499468,0.1645339952355764,0.0804167642673882,-0.34817628166167597,0.5325219436329899
Eskişehir,0.1440459984689219,-0.22201889601961886,0.5854431470112456,-0.13564316379888297,-0.0377406384473592,0.7532537806590198
Konya,0.19028225700326268,0.5043038386498895,0.7947442187112135,-0.0027286263964169245,-0.06679532114480492,-0.2708927232115763
Yozgat,-0.3403452245586721,0.24942990910378376,0.5491178926863609,-0.39127001753238505,0.07484783810926444,-0.6014357513540837
Sinop,-0.14876945052495905,0.008243339508062374,-0.4588723119554748,-0.579781261481048,0.6465303892332508,-0.11440298902668934
Isparta,0.5268467080710311,-0.2653745672000319,0.6540107561167405,-0.0779218496132579,0.031103327594887754,0.46608967434078485
Aksaray,0.15813324058297687,0.6267192603399756,0.632956291951175,-0.0955995105139676,-0.03266046232591593,-0.41397730277299677
Ardahan,-0.5560615590524609,-0.10231251263755489,0.005952387730437738,0.763071410156801,0.31302139595313266,-0.00564712839478537
Adıyaman,0.4175580043250995,-0.09462686183659016,-0.2986663898994586,0.33163283464727356,-0.5963883019420586,-0.5116933787708289
Kahramanmaraş,0.3139742060352425,0.48758754702449036,0.4215603379970186,0.12379625377624791,-0.26748233741361055,-0.6317381974217935
Osmaniye,0.2504243406666622,0.6213545856518004,0.38884129876917833,0.18516202393457729,-0.2857062563263401,-0.5330061283428968
Niğde,0.23723947624125571,0.7972716745646259,0.4219028812573981,-0.18198126124026187,0.04358327148842136,-0.3083124805131419
Tokat,-0.2698347207934379,-0.3875731486047037,-0.3528698312307323,-0.47726519452257843,0.42804852280646655,-0.4913772037474741
