,0
0,2040.264437876074
1,1539.4893317417584
2,1479.0018396253004
3,1450.5952978413045
4,1432.9732619172994
5,1419.0017279682206
6,1409.4903770899436
7,1401.7603625696747
8,1394.9108446523792
9,1391.386873531695
10,1389.374799052674
11,1387.231976643952
12,1383.1040800190158
13,1380.8753566494272
14,1379.8023005641246
15,1378.1448622000883
16,1376.7057352714073
17,1376.3720046010533
18,1374.2766178696343
19,1373.1969029649476
20,1372.3842279882865
21,1371.3960214640033
22,1371.4028237498444
23,1370.4383543035135
24,1370.835773756703
25,1368.2328375776258
26,1368.37801473256
27,1367.2756523034975
28,1367.4687414861162
29,1365.1693088414158
30,1366.1646229507598
31,1363.4160869657328
32,1362.7779317923946
33,1363.3142259042654
34,1362.4474732051135
35,1362.0385562544564
36,1360.4713842454398
37,1360.914380401001
38,1361.5235170297271
39,1359.1035276517944
40,1359.0119357775982
41,1358.0537897873141
42,1359.0317017558198
43,1358.5009465379007
44,1357.572520118074
45,1357.4755808211614
46,1357.0635462621776
47,1357.4888406915
48,1357.2216554953757
49,1357.994603330215
50,1355.856104001834
51,1358.4116183120284
52,1355.7994332355702
53,1357.7007913467603
54,1355.3087432553018
55,1356.9782305788315
56,1356.144948572627
57,1355.329766290022
58,1356.2125231061227
59,1355.7364175425948
60,1355.440606650675
61,1355.8282593319568
62,1355.959991105863
63,1355.3333767945558
64,1354.1642581038561
65,1354.1865522966184
66,1356.7544992238593
67,1355.7334623396457
68,1354.817884936921
69,1355.2574534769865
70,1354.615063128284
71,1354.7706909478713
72,1354.1718688509275
73,1355.5855628325219
74,1354.3070663224246
75,1354.0582483626151
76,1354.3742082174663
77,1353.2115833305586
78,1355.5458868927265
79,1354.2175547310865
80,1354.2010834034227
81,1353.2067362320076
82,1353.7623198031315
83,1354.458617377739
84,1354.47845470102
85,1353.8801919602447
86,1353.0885833470602
87,1353.8618253453617
88,1352.900682490536
89,1353.8853481329777
90,1354.5335287587222
91,1352.5860416594526
92,1353.5330953505131
93,1354.5721800593878
94,1352.9809034120576
95,1354.0510015308503
96,1352.9888994516805
97,1354.001777648449
98,1352.999096937946
99,1351.7603709304192
