,0,1,2,3,4,5,6,7,8,9,10
Balıkesir,0.2211271125628609,-0.20499466009465925,0.21436011893130863,-0.5711931296161529,-0.5013915989484751,-0.3477703673558483,0.21517117433353752,0.12204482312764471,0.24714829918496006,0.19944303799878393,0.04976940118066902
Manisa,0.0891991867394748,0.1527941040896861,0.04735575861270196,-0.4607204504275463,-0.38716485602909745,-0.46798146166060406,-0.4911720743798519,-0.20106482207591247,0.27585851905609315,0.04030364931274158,-0.1609003272579121
Yalova,0.6468826101969751,0.2963142558805591,0.02138063670149902,-0.1265570015284298,0.07353978252816477,0.27622511341058864,0.42296983919423825,0.042602053123095646,0.3726631116317845,-0.17803449524461235,0.21039495042823078
Çanakkale,0.17796072343945665,-0.23124108339554625,0.29522642828549767,-0.42028039282604696,-0.5953206715133801,-0.13667758198047647,0.24027485189094752,0.03206688020787644,0.16215373788807308,0.43290838065208526,-0.07424308961911012
Edirne,-0.13796296881121992,0.07610392894716404,0.03402572678457204,0.15784145660411186,-0.41408137020016517,-0.05515486378412333,0.2542995514831581,-0.046974806903378116,0.27442587809774305,0.7947051528603577,0.029267023472069737
Aydın,-0.030777638985528714,0.20972677717381757,-0.04573916430540461,-0.414445744591432,-0.2948655631979196,-0.4640390752550727,-0.572398742867341,-0.25275395029728254,0.214875711977727,-0.20225483385612295,-0.018128324433088875
Çorum,-0.6852537205549264,0.26503416851806444,0.011197921119508817,0.08055607919357748,-0.36430865218248226,-0.002556746082109347,0.3237850193168853,0.32432006961884646,-0.1284052911401516,-0.1104983883176388,-0.28657313680872304
Bartın,-0.1478188828611418,0.6115838554696127,0.13578970985799343,0.2679084565015609,-0.19169143210166908,-0.2958932751187692,0.10424151886191581,0.5230839763319256,-0.22446325643293,0.22305942922071284,0.0705701128377841
Denizli,-0.0038914644617252738,0.20677639423570496,-0.21787985388922398,-0.42043755801635085,-0.1587562802646963,-0.4114556603340326,-0.662352420075985,-0.2761877465572954,0.10040240520137962,-0.11559624599558688,-0.0074937732737543955
Giresun,0.14476295297091588,0.5410809740423473,-0.337053397536857,0.07962765049744837,0.31194615393124364,0.2301935268666588,0.5407066059509797,-0.038635669464666435,0.28017220119020997,-0.029730176408955526,0.20686554646617653
Afyonkarahisar,0.1623472456204262,-0.08067001126311547,-0.1723096299646194,-0.5779405178850343,-0.29100291823340757,-0.34748883300639116,-0.5581708404696091,0.14799748610919763,0.04427086560491625,-0.16658487389499282,0.18662880283812042
Samsun,-0.34388181331899803,0.33990643905423545,-0.12637152676964955,-0.23545449143612449,-0.09109448412665107,0.10824264088453933,0.6730743803673462,0.30905255258975395,0.2829014795509254,0.21023924008088304,0.04482487621166509
Amasya,-0.7149116366089123,0.15165574273717922,-0.002601125034534835,0.0349371232420043,-0.34953513199475256,0.05727218067053227,0.4949201676816485,-0.07836456084621936,0.09055342930817256,0.26581096502931145,0.09631842224022169
Kütahya,0.3874074412408361,-0.10766882846703976,0.0022961720341385995,-0.7143005386717509,-0.3523614370756147,-0.28537178372479294,-0.136559869778462,0.3021131692037914,0.10737787915800238,0.02238314306385087,-0.023339870277713903
Bingöl,-0.13324825363753043,0.0002883798776506244,0.6466488275518064,0.10076460121232482,0.13973649648681727,-0.052958925982486596,0.09359003203912719,-0.6204483365387938,0.20273046647451917,-0.21755890975482498,0.22239361221679765
Ordu,-0.21400092099363893,0.6818461399838213,-0.20597025423572482,0.21037368439360826,0.06980461511428937,-0.01829298662754062,0.42422661420838514,0.4312226588589194,0.13564956485205046,0.11436471975380527,3.939256543678564e-05
Şanlıurfa,-0.017300170306833264,-0.40897993753453576,0.3850385678891734,-0.1309201983410815,0.2821209375489279,0.2393485758762935,-0.2944953534118205,0.030684592394515244,-0.24449791981514687,0.09846153927042946,-0.610752313648737
Elazığ,-0.014245373458297494,-0.026700597001609087,0.6020018200065179,-0.018723893921621246,0.22679898979750965,0.0352973878839095,0.23682123626204055,-0.6176353459763329,-0.1821663779421391,-0.2933216956764397,0.16390167675896294
Mersin,0.032111646851301405,-0.40343340436302366,0.3066593474418787,0.022512929299909546,0.4220059590070849,0.5651537733025269,-0.45180126609529747,-0.06579647147887324,-0.007723216401472871,-0.14191173490240833,0.12459365082886031
