,0,1,2,3,4,5,6,7,8,9,10,11
Balıkesir,-0.270257090464799,0.12903635242093522,-0.5319849220410486,0.019981733392926963,0.026892015971086192,-0.12130808972114654,0.05096753378881843,0.18297588026384534,-0.134663937695339,0.17964015083524612,-0.5426541604833836,0.48011280408641377
Manisa,-0.49424035797598487,0.2657954404907313,-0.30587703997859056,0.5327529680844248,0.08289742402944456,-0.05602732571835328,-0.00962621762740294,-0.010214709371483487,-0.4492858651134231,-0.14135385099543524,-0.1267926744954148,0.2440689107494051
Yalova,0.536973414884495,-0.38133924163765787,-0.5265425520265491,-0.002097738908509651,-0.0009687404026945262,-0.05026407542879696,-0.32029767821181454,-0.13135896138625447,-0.16658211916881327,-0.15139927964814578,-0.06955439812174434,0.33332584830384543
Çanakkale,-0.1381259419234703,0.09929279863663229,-0.6433489244345258,0.07930369568696462,-0.06369949254929592,0.0025962957252431435,0.2946453107938725,0.13595542513263187,-0.005655399079180773,0.25240518757148467,-0.5895735084860658,0.1737062535642682
Edirne,0.18409400685566615,0.2692350166105529,-0.3173081669420783,0.25041769140391884,-0.04081451892822024,-0.12971280930496729,0.4157906610305788,-0.03861355288534291,0.06409593589120602,0.33810613500627,-0.6421606727528364,-0.08105500735614085
Aydın,-0.5666971745220885,0.2596840192721487,-0.06076051925945643,0.5093400914134107,0.16870939127176635,0.28690707356812006,-0.23100653716893518,-0.011704056509266793,0.13744084659786865,-0.28827120203167556,0.11952046775398431,0.2602775555727362
Çorum,0.16590163694846985,0.1568233733744708,0.5874859286027105,-0.17490818830016694,0.17064271690941873,0.3076617809132316,-0.2944739287300639,0.19309403869605843,0.04679034014843024,0.47719880307093804,-0.27898173708880064,0.1289834555956868
Bartın,0.12980791722987972,-0.21531142423591276,0.2256731524268159,0.29069106144277845,0.3614608592567082,0.13796473619420566,0.08660498124120805,0.2676326064257543,-0.38475249484709323,0.6204484263677293,0.14320545048844127,-0.13801029367528586
Denizli,-0.5380133308171445,0.4117514524381123,-0.012026576565292988,0.46672994264353135,0.1985981511865874,0.23583318775068235,-0.08981262125565025,-0.050252210848926615,0.2472104345640099,-0.0773218304434269,0.32459656821050553,0.21193445479286954
Giresun,0.5649377719860513,-0.043474014509463324,0.11765772408235756,0.021885010382915113,0.3093607941981288,-0.045543967330669094,0.0918808314262483,-0.3313505078038341,0.4421621995068009,0.3211326291539488,-0.27616306240959815,0.271513934740278
Afyonkarahisar,-0.45339327031327875,0.4731691406912144,-0.29926951310092936,0.33969655721277564,0.10696945498593506,0.23821219471322116,-0.09400006436117991,0.20088097228901164,0.13899903406992264,-0.15134085046480766,0.41742256674839817,0.1781753052976816
Samsun,0.4408868809267558,0.17419345200308425,0.13290103760760968,-0.12852978982192817,0.13861959451744513,-0.026097514146130398,-0.02648206285845913,-0.08266983365636664,0.40198885287106967,0.522387157675492,-0.4683843506579083,0.24452699908224929
Amasya,0.0871107071619848,0.23499049953212395,0.282139515954638,-0.5395033162035597,0.2233529423129613,0.2539196047779476,-0.06796897331336679,-0.024257469789627402,0.2239013087731318,0.3257571497848537,-0.5328261135687857,0.08247158576274902
Kütahya,-0.45772424472765166,0.08166129018058747,-0.6104189365160492,0.06915734530431293,0.23049678067083476,-0.036274122153110946,0.015371053788908351,0.34997640281866804,0.002564604561229812,0.14170844657547965,0.10765066574849412,0.44450542908052243
Bingöl,-0.13222797123404126,-0.38158849889386726,0.19988969566537224,-0.1364939296058426,0.06349979058711394,-0.6114655275985883,-0.31506459451489127,-0.01910442196499085,0.1423496451485143,-0.44610187953198605,-0.11019124563392123,-0.2633516401526754
Ordu,0.308354664290336,0.05325102829487572,0.44453422836002704,0.11542566387017672,0.39617049914428976,-0.15181845388413137,0.02039120952003537,-0.28390185426700854,0.34339740725294404,0.5034175012482962,-0.1638597828393643,0.1786924872936503
Şanlıurfa,-0.19122226522597777,-0.44632023286103595,-0.09926574106110404,-0.1365418798343189,-0.6027274459183485,0.449025722869605,-0.01870228419153681,-0.040467373299090045,-0.12091921550927318,-0.3402600895903003,-0.03899880196083198,0.19215559665105547
Elazığ,-0.35267541208914555,-0.5585223195277349,0.2212631591639791,-0.1415724870423787,0.005139438347621848,-0.499976624711798,-0.01623496342451544,0.23193790654186383,0.21151061818593805,-0.34012290619463453,0.0049340761514828765,-0.17368429394226115
