,0,1,2
Balıkesir,-0.05222950909248321,-0.47058075003894273,-0.880809761567584
Manisa,0.947180395274325,0.32038498052060754,-0.014239489625114966
Yalova,0.9400011685823587,0.3380222123701155,-0.046247021614507694
Çanakkale,0.8929731730663342,0.44977433496236807,-0.017376990332120836
Edirne,0.01173420725838155,-0.5548486075375727,0.8318685780179665
Aydın,0.9251380389437933,0.3743848916813247,-0.06289325703122416
Çorum,-0.2741540076849356,-0.4189505530674604,-0.8656327247480637
Bartın,-0.6126651487128836,0.781437848585147,0.11830597766485551
Denizli,0.8918006696756214,0.44999809069124197,-0.046832509438954915
Giresun,-0.47173262260836885,-0.38610186432859156,-0.7927128629768887
Afyonkarahisar,0.895405033887822,0.43908697216146186,-0.07384074868545269
Samsun,-0.754795702805159,0.6549289959110034,0.03676217270335145
Amasya,0.8859643299097267,0.4094921991708289,-0.2176771576115579
Kütahya,0.906589977884328,0.4108039011446204,-0.0966165969389028
Bingöl,0.06708137034404871,-0.679031767627712,0.7310375833738987
Ordu,-0.18367640255063492,-0.7839405236599375,0.5930431978446767
Şanlıurfa,-0.5127647644745023,0.673336298753257,0.5326260649786796
Elazığ,-0.008584088085813455,-0.7029508002839518,0.7111866743773303
Mersin,0.08862149215824103,-0.5525440705879805,0.8287588800041372
Kocaeli,0.10854802509811526,-0.8233263001772023,0.5570916708081519
Iğdır,0.17822381576589236,-0.6785253164544925,0.7126287016561821
Şırnak,0.12335424715080211,-0.5756324369183271,0.8083508070617156
Ankara,0.16831922554040762,-0.5779711660503578,-0.7985098431001753
Van,0.9747168230316915,0.20035164855720092,0.09892589054144611
Tekirdağ,-0.6787416986178675,0.6586723687992176,0.32474669688506325
Diyarbakır,0.09804538680251897,-0.6869802980473724,0.720031368914916
Adana,-0.10429574564911444,-0.5012452723671467,-0.8589968418853935
Düzce,-0.6727742233752814,0.7228482623702881,0.15768713945671614
Çankırı,-0.7552997540487455,0.6532973706047195,-0.0521998763874403
Burdur,0.8571883050589733,0.5012589349373114,-0.11818498134550201
Kars,0.09562075299712099,-0.6965378200905371,0.7111200579225609
Kastamonu,-0.4366626587396391,-0.2993089312081947,-0.8483748500288283
Kayseri,-0.1737089796222731,-0.45663142440142634,-0.8725324822880309
Artvin,-0.6626785056329355,0.7130137266255743,0.22906030606722408
Kırklareli,0.018911240773946365,-0.6673775117165447,0.7444794300901962
Gümüşhane,0.9040751008992185,0.42253923512824104,-0.06409997434718044
Sivas,-0.2458489256261011,-0.44605069274268777,-0.860579505491654
Antalya,0.8671976033576089,0.4808747908671395,-0.12933581189796065
Erzurum,0.14035725689737424,-0.7765059848214395,0.6142786794059606
İstanbul,-0.071109461582038,-0.7056787391988485,-0.7049545811726002
Bursa,0.07989667721256899,-0.6548666721823306,-0.7515092565199913
Eskişehir,0.9050069868615996,0.3900747493720732,-0.16971754073755332
Konya,0.8745119721931641,0.4647414988018288,-0.1387232849317383
Yozgat,-0.2623749357774076,-0.43343303660225707,-0.8621456929414815
Sinop,-0.39066672034497335,-0.36953271204873833,-0.8431044350143141
Isparta,0.9023997010719382,0.42940459131622394,-0.0358674847434699
Aksaray,0.8471615556358834,0.5195397171308209,-0.11133634166891196
Ardahan,0.05705041111384245,-0.7736483898028077,0.631041535516692
Adıyaman,-0.602877506747803,0.5909468985729136,0.536022830600159
Kahramanmaraş,-0.5610284470139645,0.6700278563262534,0.48611701614728997
Osmaniye,-0.5731209277045656,0.6822289704198067,0.45397801064257365
Niğde,-0.01879153752579025,-0.694611914829569,0.719139183951352
Tokat,-0.4073845505980135,-0.42186638310675195,-0.8099793717981224
Bilecik,-0.0732917551561525,-0.40387443726413,-0.9118737618501325
Muş,0.23376528947583197,-0.6771738043443335,0.6977029655563338
Ağrı,0.9963785921532026,0.06932780054425558,-0.049227605776617535
Hatay,-0.49341323342268534,0.7224182219187311,0.4844123178895736
Kırşehir,-0.13993159840605465,-0.4526471337175094,-0.8806416524925728
Bayburt,-0.015052771237219396,-0.7662326236108161,0.6423869399299503
Erzincan,0.10497603286622546,-0.7259473846220452,0.6796914206344534
Siirt,0.09486873203871846,-0.642106223072833,0.7607230257935584
Karabük,-0.389969930789181,-0.23420592167998486,-0.8905453606247746
Kilis,-0.7259743934161011,0.6291938464826757,0.2776261580839584
Malatya,-0.07744252213508941,-0.7236326493936039,0.6858268327332709
Uşak,0.893271143422497,0.44316430598093304,-0.07531309469875054
Karaman,0.8460603113524756,0.5288260728109477,-0.0672676316626524
Bitlis,0.9358062218733827,0.35064400404117935,0.036269788158115476
Gaziantep,-0.5648622116291704,0.6567806480205899,0.499569677081242
Rize,-0.03813639399865919,-0.7480332866143687,0.6625645761506458
Hakkari,0.030397703220175678,-0.6696356915999643,0.7420673959785431
Batman,-0.15486319170229595,-0.6049208828774972,-0.7810813768836683
Mardin,-0.14380746728959728,-0.5408658792483066,-0.8287240270540653
Muğla,0.8909639542776138,0.4277611719196573,-0.1523273185476583
Zonguldak,-0.6283679245066734,0.7655693736798785,0.13804812760256507
İzmir,0.9620321061046071,0.2650054997529634,-0.06531701098960346
Kırıkkale,-0.2948124058823611,-0.31751711902421687,-0.9012594101946535
Sakarya,-0.6618427638035901,0.7170990446779141,0.21847909767949877
Nevşehir,0.9243548969654203,0.3652136770618324,-0.11039472153605441
Tunceli,0.010572699972516057,-0.6893159381580586,0.7243837073102671
Trabzon,-0.0024682837508213464,-0.7942009907809288,0.6076501409675772
Bolu,-0.6479839882650209,0.7507691743528507,0.12830587591258583
