,0,1
Balıkesir,0.9718993518806964,0.2353967922761096
Manisa,-0.7021400978530266,0.7120388212639411
Yalova,0.9331635630926961,0.3594520336792427
Çanakkale,0.9805083292928237,0.19647752081954686
Edirne,0.9597342119233745,0.2809096695804887
Aydın,-0.12519376120231207,-0.9921323108114253
Çorum,0.941809666866645,0.3361466218728654
Bartın,-0.6106748256991076,0.7918814666712213
Denizli,0.995088952082527,0.09898473338499258
Giresun,-0.6246745057208428,0.7808852424667923
Afyonkarahisar,0.9976847509010672,0.06800836580506468
Samsun,-0.5609860794590279,0.8278252343660402
Amasya,-0.7138414360594164,0.7003073640656865
Kütahya,0.9909835421813704,0.1339836524567977
Bingöl,-0.3521276588684456,-0.9359519815993914
Ordu,-0.5168040974766229,0.8561036881309257
Şanlıurfa,-0.19796715618492472,-0.9802086538447076
Elazığ,-0.20696657431981502,-0.978348014315111
Mersin,-0.14122846568224506,-0.9899770302795106
Kocaeli,-0.18472323459371137,0.9827905812538278
Iğdır,0.9875471917960866,0.1573230560841712
Şırnak,-0.18233557497762815,-0.9832363592227341
Ankara,0.9973775525076017,-0.0723741511449102
Van,-0.19914784656418885,-0.9799694562632278
Tekirdağ,0.9247430235307785,0.38059209191883353
Diyarbakır,-0.2915095606133787,-0.9565679150332165
Adana,-0.2179058466609078,-0.9759697956345744
Düzce,-0.4682058524653807,0.8836194201788268
Çankırı,-0.7108325086570444,0.7033613186949743
Burdur,0.9961705432234983,0.08743139489794441
Kars,-0.8419245469468799,0.5395952717067591
Kastamonu,0.9393771437963568,0.34288566857335806
Kayseri,-0.2226179002725013,-0.9749057751794594
Artvin,0.9635823356940817,0.2674118216129162
Kırklareli,-0.6897281699850534,0.7240684025208318
Gümüşhane,-0.6469214269554404,0.7625566650065665
Sivas,-0.8836588436383374,0.46813144314365035
Antalya,-0.06733047083021675,-0.9977307290535764
Erzurum,0.9826954471059423,0.18522866472890265
İstanbul,-0.9067825481063181,0.4215986366792625
Bursa,0.9879774171171686,0.15459826411214458
Eskişehir,0.9968840989610888,0.07888024618710408
Konya,0.9931110871565555,-0.11717665538290739
Yozgat,-0.2780625423821165,-0.9605629716598457
Sinop,-0.6268053272101978,0.7791758991273517
Isparta,0.9962619631966356,-0.08638345146835397
Aksaray,-0.16774967551262182,-0.9858296233961578
Ardahan,0.9629972667539594,0.2695111578847966
Adıyaman,-0.34459642979175903,-0.9387509257384375
Kahramanmaraş,-0.3084083469742482,-0.9512540625493338
Osmaniye,-0.29130560613132006,-0.956630045438917
Niğde,-0.2509513479448205,-0.9679997009114609
Tokat,-0.7285026461971091,0.685042987325474
Bilecik,0.9685295181897452,0.24889871915126394
Muş,-0.2559944107958738,-0.9666782616989343
Ağrı,-0.23111660502298773,0.9729260582812284
Hatay,-0.2028548593812835,-0.979208816353999
Kırşehir,-0.8319043382278913,0.5549190680068706
Bayburt,0.9433040192140714,0.33193000366730774
Erzincan,-0.9698507873085604,0.24369950832319176
Siirt,-0.18836883790364023,-0.9820983560249106
Karabük,-0.6692648008232187,0.7430239742962922
Kilis,-0.2518511739570006,-0.967765976967821
Malatya,-0.3260600753492823,-0.9453490504904632
Uşak,-0.7819418404364245,0.6233513922138116
Karaman,0.9999157873371947,0.012977605088704998
Bitlis,-0.9466275751765372,0.32232938729720156
Gaziantep,-0.26510516057429007,-0.9642195050074853
Rize,0.908026704765593,0.4189122860844958
Hakkari,-0.18853367072821692,-0.9820667263489505
Batman,-0.2936208679963778,-0.9559219559551153
Mardin,-0.23680313684033902,-0.9715576536585853
Muğla,-0.15157770996272943,-0.9884453438822273
Zonguldak,0.8313985703036362,0.555676540171591
İzmir,0.9999909996236679,-0.004242719841977636
Kırıkkale,-0.8052784242594607,0.5928968370823038
Sakarya,-0.4476291339094768,0.8942193011087671
Nevşehir,-0.27579090047915045,-0.9612176544429982
Tunceli,-0.18176542244835533,-0.9833419197828245
Trabzon,-0.6032930383732772,0.7975195984114367
Bolu,-0.5839709551100141,0.8117745521928474
