,0,1,2,3,4,5,6,7,8,9,10,11
Balıkesir,0.4260824831107121,-0.4455026641487023,0.2262965279017643,-0.27789851167675095,0.0536543305044126,0.31898827066862534,0.0856982176746149,-0.15678837326656508,0.3772934299993385,-0.35802035647378866,-0.02923928969921202,-0.28913745165137794
Manisa,0.6746702211976267,-0.11119611947063483,-0.410385165688839,-0.18998830365309882,0.093135637456443,0.2304806031030839,0.07414354198151347,-0.26174182359831294,0.23090686896120505,-0.1162062797244563,0.2167854439418966,-0.2798652590196139
Yalova,-0.05132657489752433,-0.3505469895857193,0.1294350469129515,0.32487605505273365,-0.2838224315991142,0.45056511236208624,-0.24553149031997162,0.20558799038475586,-0.2799344873320802,0.1813981836602712,-0.10828113563140439,-0.49302622448817607
Çanakkale,0.49891746261131176,-0.48996194872306226,0.20886243695449583,-0.22866256021734677,0.10872311228476747,0.4124061893665279,-0.012697671271500496,-0.19790794153016408,0.37687912879241947,-0.20528166817410798,0.0983185246577271,0.005935709021155895
Edirne,0.05891102055208309,-0.2920464530415878,0.07032537576117168,0.21683321101644107,0.28950064346895327,0.43819041005854226,0.39202596798960004,-0.3983346460136205,0.4432915573230882,-0.03760789551919395,0.23394577269080902,0.13582109578149607
Aydın,0.5156625365052938,0.003465255871938481,-0.7325070243445481,0.05176548181754302,0.03866444971623154,-0.05782010470117876,-0.12530087727493877,-0.030231350398575853,-0.05625264288171476,-0.2851467295229912,0.18927057855978136,-0.23040229372831322
Çorum,-0.3704437280069172,0.19493476849985983,-0.09845904633153944,0.24909057668691975,0.43977679453818413,-0.30132393268920693,0.16610793963194997,0.3579468875497423,0.21307797260563896,-0.3485396000259699,-0.24068233999733263,-0.2971598120339153
Bartın,0.11411806205439835,-0.22759000227582937,0.18676306925601627,0.3689218155899781,0.47496049980857574,0.11573370024025563,0.05661886410547487,0.4881109317060311,0.41751081599535556,-0.06101580873206819,-0.03565349859252014,0.3231825849228938
Denizli,0.5229141191263604,-0.0034834932352501027,-0.6721030503829022,-0.07045541979045805,0.23941929604440335,-0.06538091276816455,-0.17448684844416792,-0.12455668622450519,-0.27192360591156006,-0.2393184618914013,0.16474716449368124,-0.06283724598205079
Giresun,-0.5156130597729963,-0.4115052058839739,-0.030051342323448145,0.2188352259158386,0.23659481079137237,0.2302289406407121,-0.008901025376878188,-0.14546192679293496,-0.16612034478975649,0.28540231842863434,-0.525559724808778,0.02302937657062791
Afyonkarahisar,0.8139786273131419,-0.3095024109288035,-0.23710648327686545,-0.21478327466506997,0.11570541420956526,-0.1070834976198184,-0.13711124104984307,0.07046972879501938,-0.07482071697133506,-0.28911838610844803,0.03385827766104565,0.01848391571327957
Samsun,-0.6123529192436038,-0.37491275846462263,0.04175986402367285,0.21807381789123786,0.4381642985824003,0.12219199254569829,0.12980611996277794,-0.014840383653143531,0.032319926162739945,-0.18741125773616127,-0.31177003221609356,-0.27893984663122356
Amasya,-0.5321319877933236,-0.03427039730827005,0.0012310722460268139,0.3995928424071457,0.19149678182544505,-0.14619947574626657,-0.014812012386997836,0.046505475805730605,0.1368090827808583,-0.5407566980842096,-0.27885524758255725,-0.3265928540034227
Kütahya,0.7335581357400998,-0.17615369982343143,-0.0020571701569796767,-0.291560059960201,0.35216023777587957,0.24627589723533724,-0.02549932077403523,0.11013573311643589,-0.09695943081237268,-0.268079595356965,-0.09578186015383576,-0.24074908911928755
