,0,1
Balıkesir,0.4325396857834297,0.901614895741176
Manisa,0.380535402936636,0.9247663527139449
Yalova,-0.9947666127129225,-0.10217331467491288
Çanakkale,0.4328957147130542,0.9014440083460948
Edirne,0.4061996114935224,0.9137843704192536
Aydın,0.292908908942891,0.956140351131509
Çorum,-0.9994048050143245,-0.03449689427006811
Bartın,0.42711348274626587,0.9041980274565721
Denizli,0.32140804592954325,0.9469407943539833
Giresun,0.2951583640541847,0.9554483450866705
Afyonkarahisar,0.3443498698482553,0.9388413961556498
Samsun,0.604990580840289,-0.7962326274993572
Amasya,-0.9959824123674458,-0.08954906060212839
Kütahya,0.38750243343020624,0.9218686804993804
Bingöl,0.5942856594409853,-0.8042540363484619
Ordu,0.6431388989890153,-0.7657495390838949
Şanlıurfa,0.6911906177467745,-0.7226724914778705
Elazığ,0.4048995785725399,0.9143611601942526
Mersin,0.6448720179504582,-0.764290573319143
Kocaeli,0.7839488661420358,-0.6208253983807498
Iğdır,0.5368523820129205,0.8436761937657442
Şırnak,0.19009633232778334,0.9817654426773865
Ankara,0.8842190438238153,-0.46707245962409133
Van,0.8033853054479133,-0.5954595292632096
Tekirdağ,-0.9959575669197892,-0.08982496810583125
Diyarbakır,0.615188728238232,-0.7883798758521346
Adana,0.29893389501382023,0.9542738215061054
Düzce,0.7176816439181181,-0.6963713506334016
Çankırı,-0.9895708484225958,-0.14404699216638972
Burdur,0.3264763558181864,0.9452053687382848
Kars,-0.9981323140136868,-0.06108914569449289
Kastamonu,0.3978522457764479,0.9174495029867512
Kayseri,-0.999973514018221,0.007278135891225207
Artvin,0.634854957815219,-0.7726313367560477
Kırklareli,-0.9969384161245309,-0.07819075683935842
Gümüşhane,0.5429571832907708,-0.839760380771177
Sivas,-0.984430171452733,-0.17577610057554213
Antalya,0.4348675596708115,0.9004944228288997
Erzurum,-0.9938147421528127,-0.11105070139237412
İstanbul,0.034464578667189834,-0.9994059199430895
Bursa,-0.9501946490959431,0.3116570692755705
Eskişehir,0.22504056649144438,0.9743493949468076
Konya,-0.9822163992736859,0.18775235017926098
Yozgat,-0.9969573830802406,-0.07794854919624088
Sinop,0.5937114508596023,-0.8046780182894189
Isparta,0.3359159759633162,0.9418919561672735
Aksaray,-0.9975664903469668,-0.06972157009731896
Ardahan,-0.989246589628671,-0.1462572559158813
Adıyaman,0.5226162010942731,-0.85256806552544
Kahramanmaraş,0.22181199742453256,0.9750894511779621
Osmaniye,-0.9985255016817487,-0.05428464323556518
Niğde,-0.9972334908621745,-0.07433279695290367
Tokat,-0.9837072197983635,-0.17977793445407614
Bilecik,0.412165269092498,0.9111090993695041
Muş,-0.9958421422289637,-0.09109570659931966
Ağrı,-0.9994651391283549,0.03270222725041882
Hatay,-0.9945779847969194,0.10399342362524282
Kırşehir,0.5688864403561568,-0.8224160856761625
Bayburt,0.5289957419032209,-0.8486244782283038
Erzincan,-0.8870807207053163,-0.46161433573161154
Siirt,0.5881905479509314,-0.8087223746757494
Karabük,0.36780336056472496,0.9299035906787838
Kilis,0.526879200178213,-0.8499401793182665
Malatya,-0.9775635484474137,-0.21064071008924545
Uşak,0.3426904158247442,0.9394483907601651
Karaman,0.669083665259925,-0.7431870887484153
Bitlis,0.6417581417751055,-0.7669070918079737
Gaziantep,-0.9980819481421508,-0.061906581174937025
Rize,0.595177048151381,-0.8035946001273334
Hakkari,0.4443014616291632,-0.895877341601064
Batman,0.6619111722284777,-0.7495822837281594
Mardin,0.6254514432769976,-0.7802630915932914
Muğla,0.37782592867278303,0.9258766481678589
Zonguldak,0.4249083833012425,0.9052363590799501
İzmir,0.2699609678995137,0.9628712664789398
Kırıkkale,-0.9992809310075572,-0.03791597189404866
Sakarya,0.3187190552130869,0.947849230544646
Nevşehir,-0.9946343979401817,-0.10345247427767088
Tunceli,-0.9955077326551067,-0.09468027367877878
Trabzon,0.5842729481815211,-0.8115572204245822
Bolu,0.2966824337684031,0.9549761952495238
