,0,1,2,3,4,5,6
Balıkesir,-0.31661522143243526,0.24452805152832044,0.7138250910810428,0.5601871733015715,0.03574914669126521,-0.04641409723529087,0.11477209535975502
Manisa,-0.455501996514992,0.14905151182717646,0.60158368815492,0.4696822573710238,0.059188847195079115,-0.048545367988255,0.42654102834812413
Yalova,-0.051410294773844824,0.13595627305116226,-0.48050916127320475,0.6145078356532189,-0.5980937659621766,0.01692097790523351,-0.111182133845927
Çanakkale,0.14081192267108056,0.06431041785960298,0.7254314965981096,0.5020759185585463,-0.21707882846504076,-0.30349995200886565,0.24180498278215481
Edirne,0.7260681164643703,0.05706311748649856,0.26974587513072307,0.29398604145830487,-0.33220993282925426,-0.39967093618078825,0.20069370806329492
Aydın,-0.6023405318755559,0.1450145585984377,0.6005964010982714,0.37443713083866803,0.10745429208889852,-0.05126825742253613,0.3179034450647135
Çorum,0.043343795657940117,-0.13399357892100008,0.3089834408568797,-0.14756601238347594,0.004629472515793536,0.8242053144891311,-0.4284678622761414
Bartın,0.6888374613234242,-0.4088316341238913,0.3864677460491069,0.07611101334160071,-0.4490345166163947,-0.03700884667464299,0.014414918793400837
Denizli,-0.6119061309930383,-0.03549302155418826,0.5734783316458438,0.42494669191648415,-0.02185694834834224,-0.1510196446770637,0.302604337653201
Giresun,0.12832021364648827,-0.0428719956733868,-0.4498055262626376,0.43470948299017786,-0.4240549479516151,0.4253911838334226,-0.47918504831980807
Afyonkarahisar,-0.6483403118740193,-0.10535674737434807,0.6160127033990896,0.24596002811991838,-0.04814101764749475,-0.1878868420637516,0.3016086646619524
Samsun,0.11441972532064053,-0.059830771758783756,-0.08996033719355334,0.1732958227625398,-0.3355781502932327,0.7451790691094222,-0.5265924047689651
Amasya,0.042999152916449186,0.20467126333822738,0.1775824042612632,-0.2564323946814585,0.17488310425241219,0.7700075872235436,-0.4852544476168576
Kütahya,-0.40140322996220135,0.12446735393681974,0.6742210995909586,0.37238377421725566,-0.1097648176184206,-0.2936941774557464,0.36309086092565956
Bingöl,0.190348812813388,0.4165929396380277,-0.4621164534389962,-0.10617480042473727,0.5454375180914666,0.07787337801449239,0.5116899433981915
Ordu,0.1176754721409464,-0.18659706105902557,-0.17100217813780424,0.3042987404260115,-0.36152688950516515,0.6486165562691096,-0.5273418462497829
Şanlıurfa,-0.013305365228175634,-0.06199934157946848,-0.13075930677375625,-0.18146953318647202,0.7072019215835386,-0.5376580583293872,-0.39590291175869313
Elazığ,0.16503261116111154,0.5236230700530604,-0.26978342950438894,-0.2871636230325539,0.6305396092166586,0.14280757905798955,0.35406619311326526
Mersin,-0.3007703056703573,-0.47649547223847744,-0.48584478312582835,-0.37979645044714977,0.29505860520149,-0.30334570903706154,0.35088543914746034
Kocaeli,0.17170244356365139,0.38567382291995206,-0.26074708690251114,0.13075124655482345,-0.8171423439304357,-0.20542098485266364,-0.16361433348832738
Iğdır,0.048087581948152935,0.9289791482094284,-0.02170594799180973,-0.19806160830174568,-0.21659779195502868,-0.09366571610929789,0.19823699942015363
Şırnak,0.12940744339993138,-0.06141353196434227,-0.39999549249674937,-0.03105057941689823,0.5434957481004866,0.10003395056067797,0.7163289326255308
Ankara,0.004190841170330735,0.029204527029115808,0.5248777100005907,-0.7243044853700632,0.04451954307327919,0.4436520749959325,-0.014379885430173654
Van,0.01967312739099353,0.2621842982532249,-0.3401453445076263,0.040594917361074914,0.14380643389745792,0.21412563354812536,0.8642890035917777
Tekirdağ,0.826646516753981,-0.010289128450309151,0.30689648907534534,0.04222668172383547,-0.4496732877181054,-0.029878368539396256,0.1322207998927462
Diyarbakır,-0.031639928150414165,0.21029051378418648,-0.44814654829817857,0.14254979591137687,0.5096959345122855,0.08355744410695819,0.6832636749959956
Adana,-0.01840945653074204,-0.24666909605821996,-0.28557577618720265,-0.21706728973272724,0.6798187789067934,-0.5659853063445417,-0.1662852296236179
Düzce,0.6785401095242952,-0.21966022427472617,0.27380141037722966,0.04779886949263668,-0.6177281277081649,-0.17955819777352983,0.015861123525373506
Çankırı,0.5066744056388526,-0.3229792961339909,0.3965564963799803,-0.3459148468468503,-0.2174265996074491,0.4799910324979612,-0.29049194025608654
Burdur,-0.7960420495575206,-0.27112804219885545,0.36874190822655156,0.2235682228309811,-0.0336278865021189,-0.16968817916044932,0.2773596618651091
Kars,-0.01183120465196706,0.9098789946357724,-0.05219310732136634,-0.29897869672275673,-0.13873323396397064,-0.19733213582234996,0.14724460647802998
Kastamonu,0.778219840211527,-0.31081699647842487,0.3683056908751303,-0.10870495224988728,-0.28998334498385375,0.18632402219281577,-0.17746505236943277
Kayseri,-0.09538844863357833,0.007799399578651446,0.23589752077882942,-0.7620095610332414,0.3725584692124846,0.15896476609462765,-0.43642226338301154
Artvin,-0.1607908200644669,0.28131612906672016,-0.642436788985698,0.29775232068767554,-0.45767520174924786,-0.026533953229901677,-0.42831697890994325
Kırklareli,0.7286422675162688,-0.08775494048375716,0.2911703308172476,0.08189202036983417,-0.4559882307889624,-0.2962513605150964,0.2724021230384785
Gümüşhane,-0.10663541597103501,0.17147315289249443,-0.5109312056885602,0.13348145256502572,-0.393799671026009,0.2698870155600986,-0.6726371003032965
Sivas,-0.10556367845088128,0.05615545699260683,0.03944184739232379,-0.2703065135768495,0.3031365895246975,0.5801102964612344,-0.6947386961045673
Antalya,-0.6974029856458561,-0.5727661751297465,-0.13478228573995074,-0.3315337375073324,0.006952524133996037,-0.19531781898696812,0.13888740972082558
