,0,1,2,3,4,5,6,7,8,9
Balıkesir,0.0775750512336791,0.31718274211762815,0.22590961697182618,0.3787490660808607,-0.22300401827294494,0.7002910025402881,-0.20691927244041108,0.17229219099864487,0.06539153021023673,0.28631572156794355
Manisa,-0.008970558708795632,0.3887748543742526,-0.023138593248107193,-0.17800771815569857,-0.05272235625698127,0.35263841139101,-0.02557860249282679,0.6317552886324012,0.072180561228147,0.5333281920026945
Yalova,0.40075492745222463,0.18458883312039587,0.14308895539894992,0.43598108360761256,0.16562733785839995,-0.32929752287673125,-0.635824986484115,-0.07515937037664541,-0.030892776323304363,-0.2191403996265171
Çanakkale,-0.008208050979199674,-0.12870925291305835,0.2508302962474312,0.43977708365134516,-0.04610911935116198,0.6995855023732227,-0.3882493797331564,-0.13223394309467149,0.01814012031237074,0.2587439830036667
Edirne,0.2551603334349168,-0.044769966251628344,-0.19742567598148067,0.19052548814925388,-0.201536876767251,0.7563405652127557,-0.252957054070161,-0.17449764517655206,-0.2278205471420044,0.31401422074868984
Aydın,-0.25995996971852875,0.12023214328271235,0.21500156133370826,-0.276211158286101,0.13426176581508353,0.10917451979467305,-0.24181868695746678,0.7666050914433357,0.22429642755611554,0.26274120726031774
Çorum,-0.6471132083405584,0.23516850170282533,-0.3275967047085553,-0.19830808214991968,-0.26246975522472904,0.052466843142872116,-0.04068109697351204,-0.19976214217087485,-0.1280190590499978,-0.4997025999565478
Bartın,-0.20537094279150783,0.23844712283271027,-0.7048335667874708,0.31060438141158747,0.241492235035492,-0.2248786310365947,-0.17447464178682673,-0.310370579962961,0.011846640013929618,0.2681413212378326
Denizli,-0.3051914378448588,0.2604028197068425,0.2255934734211251,-0.37296615956865226,0.1896189813230959,0.13050852945926147,-0.18275966751366007,0.6014683689463115,0.2103013389335408,0.3958189029238107
Giresun,0.22742584141365477,0.139283904074564,-0.08714265078914357,-0.07441295305899442,-0.3047701619162714,-0.4492644961265814,-0.40746399350622126,-0.33537734389227836,-0.53097731070612,-0.2461323611274995
Afyonkarahisar,-0.3967177101181589,0.5003326798551917,0.3613852274060872,-0.3207713101414021,0.22194462742296478,0.14212554674987632,-0.04358129675488843,0.4031463787568337,-0.19034059702694806,0.2977814437827098
Samsun,-0.1770341449453049,0.16424930960674602,-0.10312845687691145,-0.3099173812073387,-0.29093677405813245,-0.11233724298620287,-0.39823887706978867,-0.2478286772724248,-0.5879594689970591,-0.4147569863090439
Amasya,-0.25543755787124034,0.14593802831783212,-0.018591912615333692,-0.222993141299687,-0.46716765153358825,0.15751999544845421,-0.23863560912673606,-0.14759298401846058,-0.5910694681158982,-0.43844067217700083
