,0,1,2,3,4,5,6,7,8
Balıkesir,0.5814570105784218,-0.588659815970655,0.00605000236366937,0.10629826557530535,-0.07258519236199124,0.42906964187343755,-0.26299116118075005,0.19640222044867456,0.08333001460269333
Manisa,0.3873943772384931,0.0760172232653181,-0.22094124439283422,0.4139656569753215,-0.015549619918321112,0.45539729149754066,0.04492881093176154,0.6324294534362004,0.11979267178719165
Yalova,0.06770770171853317,-0.68344163250645,-0.0027104406903909846,0.317571377943927,-0.17939298687173982,0.5471254778620157,0.104884096692533,-0.27670222362930263,-0.09149507605363062
Çanakkale,0.49748073563882916,-0.5992320158948746,0.021914985300487338,-0.12218541853872318,0.007447145035348563,-0.1235019754185213,0.3117094017363193,0.38122430733911955,0.3467296413232512
Edirne,-0.10491994395713182,-0.5890826257799856,0.2249253523455325,-0.48700054670197396,0.2576012518043407,-0.1371944198657426,0.11514992643934077,0.5056970204298433,-0.0065439242308038895
Aydın,0.39023991211280656,0.21400248180130663,-0.2546862019970816,0.36050354006533647,-0.01202111787250032,0.22781529070237028,-0.21217999486584427,0.7135459699729787,0.029586643119379145
Çorum,-0.2857597256317043,0.37515074456431,-0.18456700036262982,-0.11057312335730005,-0.7253294439780914,-0.0054588213808231196,0.019223629625288986,0.08607854269852487,-0.44429746830967
Bartın,-0.22498967271916825,-0.07679942141876799,-0.5089478474369644,-0.6318391887854101,-0.09613236254922601,0.32220357237998637,0.20371771694752613,0.04451393572483131,-0.35873925389897254
Denizli,0.38472481793492613,0.2724183744898286,-0.31483039781767375,0.32414184819583897,-0.02402769230234228,0.12422555059579103,0.03456569479921136,0.7457489631000181,-0.015598266682573294
Giresun,-0.2645623172573232,-0.48111997001453244,-0.06198815768621845,0.08368881953788815,-0.3984735701414567,-0.28724997922120304,0.18716605339376885,-0.23103853665348564,-0.5983145752075837
Afyonkarahisar,0.7298599071960359,0.17173354061319088,-0.20748199151300503,0.11864243400452705,-0.025975932023056238,0.09312362209577693,0.33383386390580444,0.4374367439496576,0.26181021993663445
Samsun,-0.25642732152419384,-0.0984185918122869,0.08008676076602095,0.08186762978032579,-0.5691708938964294,-0.332797221864835,0.2060603724428163,-0.04951107246444965,-0.6571308018789765
Amasya,-0.2298820495991207,0.09213574002795616,0.02782150905785181,0.14766978016495816,-0.649742344116329,-0.47942467286918294,-0.009677056115776931,-0.05018646317780614,-0.5113309995946997
Kütahya,0.6930128587468632,-0.17481806942943817,-0.23683309648386597,0.23822796548983557,-0.034481312141115106,0.30385224075675815,0.4721102578881224,0.14686199253138815,0.1958511055050421
Bingöl,0.012151831386161892,-0.2490193604174121,0.36338355445490167,-0.0451060871171122,0.0988687612099918,0.12910644622939493,-0.804964997762892,-0.03406601627490982,0.35803194954994366
Ordu,-0.2377067017295347,-0.24788974009464126,-0.06850743110490976,-0.19926488068657316,-0.5211871764977614,-0.3550192202130653,0.22859202139893578,0.11516348344986665,-0.6119271035696068
Şanlıurfa,-0.19856007358857605,0.17648596337990796,-0.42136845680881535,0.3924552318135104,0.4134754976093785,-0.2254292944548497,-0.1645432694316747,-0.4480787538752593,0.3849996174332154
Elazığ,0.034810939540966694,-0.14483232363661913,0.27714162926337815,-0.033584464859171215,0.05742239983846289,0.16439885476456612,-0.9051724738382623,-0.08364539454733808,0.20789016978464267
Mersin,-0.2383469661902292,0.32279297229289594,-0.24114696647815392,0.24133987284435157,0.324004963751908,-0.2447331820284154,-0.163234259444935,-0.3902758490418657,0.6154383952570505
Kocaeli,0.12631874296661977,-0.5275534042311076,0.09992496865838903,0.12146058588899773,0.06244825365174805,0.505841619856234,0.29283823426696226,-0.4476932181806315,-0.3674701753301478
Iğdır,-0.12941981991245102,0.006386334796404436,0.6484504939346931,0.2235310118391047,0.5407436497013669,0.10424374372789084,0.07184720990373972,0.3032072692072413,-0.3352438606953302
Şırnak,-0.6531914013129424,0.2168258280785277,0.1321368299946685,0.23797567323184435,0.15392232796370564,-0.024791993233436668,0.11767994627730442,0.13150830378745637,0.6299089306737674
Ankara,-0.013524395798603022,0.8159285389496668,0.1353728524713589,-0.22907017156754889,-0.30639703631718024,0.33053149775509344,-0.05306030876982281,-0.12587511120687772,-0.20368751188341563
Van,-0.4448172418347055,-0.02556377574897237,0.5113708897508831,0.21807833137731403,0.17715259796494084,0.23574036278631907,0.23368156973431736,0.3823830172818005,0.4523774526694675
Tekirdağ,-0.19929395080108459,-0.5441491028696983,0.31616598817624963,-0.45217478911455256,0.07264996264002907,-0.26471977337619707,0.16014268016211514,0.4942778810364783,-0.1202074284334521
Diyarbakır,-0.4115962020126772,-0.04498766535639722,0.154666816927542,0.3699305022778736,0.1143235619472115,0.33985666102027606,-0.47274241689327506,0.10205685586251528,0.5525584623057334
Adana,-0.12879580673956528,0.302821926895274,-0.19818493603594217,0.09243388076834334,0.37051827412736,-0.35502213347922124,-0.3194352717984378,-0.4623129603567816,0.5145799808261319
Düzce,-0.1689994629489851,-0.10500300563571507,-0.2608981336647594,-0.4644985736976405,0.2540718728450571,0.534478773469727,0.4198858680891525,-0.06630284402031127,-0.3816628145453288
Çankırı,-0.4407089476807267,0.30004576589238635,-0.21257272611360528,-0.5235397897871168,-0.45728095436711597,0.013220870859319684,0.1898036007016966,0.04940848940589044,-0.3856420854997664
Burdur,0.46449454559238396,0.2537219610047802,-0.3719419015564957,0.40340766615720863,0.18506711570073914,-0.2391479531316841,0.16882996096267003,0.5436146749244665,0.05770103169087173
Kars,-0.008202507086494963,0.08967657607619917,0.7807493458082206,0.04556630154019692,0.4948172950150165,0.11473498936061362,-0.003069421417321365,0.2119351680299489,-0.2780481824063073
Kastamonu,-0.3613181958743359,-0.04061010168346179,-0.42002602632059427,-0.6878861199257403,-0.15798183780584044,0.2467059936529162,0.18153126298692868,-0.05247564535766639,-0.31090417015552985
Kayseri,0.3082689338423463,0.5259740765823586,0.28436566233902744,-0.31294295675474054,-0.35986911046197445,-0.22959989062717137,-0.30649062533633814,-0.3818201037112058,0.16607055619021638
Artvin,-0.17004339947885144,-0.11344022025875009,0.25568649465750504,0.643273798627491,0.13612040435269004,0.0063505219773924825,0.1282303315729274,-0.32622565748515847,-0.581037437712051
Kırklareli,-0.010303831416840804,-0.5937651613137238,0.2614713105778048,-0.5564628987608903,0.18227221503759272,-0.19475025936753135,-0.044040114965994935,0.42913501409243016,0.10986966993130436
Gümüşhane,0.14696170678585965,-0.22705473795359035,0.3225608429144324,0.29986487407954804,-0.1441025101140065,-0.3547590064530459,-0.19344463662467218,-0.34932338006632146,-0.6533121958470393
Sivas,0.2755642199301356,-0.036551658671771396,0.21740150021481683,-0.30466602162991413,-0.3630249410742224,-0.1759400527827675,-0.7486564103889161,-0.24373242952814486,-0.0031003025547524164
Antalya,0.45148637533889735,0.42860413562758043,-0.4959364416878219,0.4415960460812016,0.044358335591685095,-0.10634934801901536,0.002822279421628357,0.33457396032620346,0.2151115518695399
Erzurum,0.171439690136467,-0.11888123933299145,0.6752149482305445,0.33854151469751664,0.30923158621538993,0.19980035020577577,-0.15541978952138674,-0.0901265378457231,-0.4670413712277886
İstanbul,-0.24234608616973635,-0.7177087949546489,0.2959311498894277,-0.47191768518508814,0.052669598316005935,-0.2663431203121309,0.04277728463244707,0.18910061892097246,-0.06766999790478594
Bursa,0.2502718256759713,-0.5001105551480793,0.22867098342137612,0.3378816028123353,-0.14590932727758169,0.5686730213933343,0.2836837609294929,-0.30862082850557165,0.019930395745614674
Eskişehir,0.7072242403218889,0.13834670585602202,0.1148713685347423,-0.13572017913316406,-0.08468282925147409,0.10500171302681345,0.5653107583663295,-0.17180109396460513,0.28598995406514266
Konya,0.526592068905103,0.44635791200752944,0.09115295697475954,-0.057224863184777944,-0.1497895517243386,-0.19620650762611513,0.4308227003750955,-0.20309349152028022,0.47338440186148967
Yozgat,0.04793692615068839,0.42595799038578835,0.1782850814419175,-0.062165332158114414,-0.778199395235384,-0.24572565184451756,-0.03984772064564342,-0.3232372763259739,-0.09255360816427662
Sinop,-0.3128594776409258,-0.4244950199581515,-0.2860567517132181,-0.2645935948332548,-0.4515682108170449,-0.14663913171444937,0.15786439292093132,0.057698907217387276,-0.5625099778996134
Isparta,0.4736646530819425,0.34301613628600724,-0.21597864763695052,0.41759866066079054,0.06361260707587885,-0.14373277976163504,0.30022759376110725,0.5331565898573773,0.1945458196067993
Aksaray,0.4603997023469915,0.500411486268465,0.24994957923104397,-0.3536581367747384,-0.18592023112909029,-0.28011957928882186,0.170278416270543,-0.24848037120459332,0.3824931942649625
Ardahan,-0.07782691546858467,0.0319940994487998,0.5689689176818784,0.07528579944034862,0.597515069862282,0.15149762938456043,0.208594856780328,-0.040125871719281704,-0.4882909764326373
Adıyaman,-0.19298829195251574,0.11132693661118333,-0.2567730775929785,-0.03460553576649694,0.6311524092581263,-0.37786560265605246,-0.47896706815755646,-0.26508237707850846,0.2059562562093396
Kahramanmaraş,0.12890289224713183,0.3313507517833069,-0.14096867341086755,-0.09820521310435774,0.4110391270720606,-0.38887119807237447,-0.4556799717784032,-0.47439952995701223,0.30199531374023575
Osmaniye,-0.029509478647201208,0.18213772183415672,-0.31554358593676274,-0.0023539481033007874,0.603292956986938,-0.4276287217576078,-0.16975920573274306,-0.44958576235608944,0.2976700925372292
Niğde,0.21869382186904282,0.34627586663737003,0.2852612809525398,-0.1403051570163816,0.0524728806582439,-0.32850596791179765,-0.0020886014622186365,-0.4809183202620861,0.6238991375108308
Tokat,-0.16482941364219872,-0.3948537028626521,-0.07700723954001679,-0.18775643035152134,-0.6422881636487853,-0.36129875495794006,-0.1252627499378885,0.004561270917487301,-0.4657862046499778
Bilecik,0.39303769669103245,-0.359861829188008,0.07330333956802047,-0.2503839306989026,-0.048325463839099546,0.37089110517136786,0.5398692927549398,-0.2561132913560527,0.3885960716602261
Muş,-0.062887877583746,-0.469180688791051,0.1704264326823144,0.32651054385357253,-0.10111268393201764,0.5008980422109189,-0.3746218904484147,0.10305583324360613,0.4776772998613667
Ağrı,-0.03329929367393038,0.21621314208932293,0.7014460538973273,0.17208950967803516,0.3634897094700614,0.399288536518038,0.22203903437371253,0.20461219224465982,-0.21858198021153993
Hatay,-0.08957319710602538,0.19560593009095212,-0.48969973806611805,0.0776944172812657,0.6273729346491096,-0.36075112044163876,-0.25174103517540347,-0.2300274666319141,0.2604771627385877
Kırşehir,0.011703335178660975,0.7373507419599041,0.2183347012285079,-0.15372312157982085,-0.45209874689310425,-0.02189831611636985,-0.0450672323910545,-0.3811316162849153,0.1808615433133856
Bayburt,-0.003299800190102008,-0.07498513329581616,0.46087448838524947,0.4163722327373642,0.2068946908528464,-0.15198335852255507,0.014284952588022757,-0.5583466175581485,-0.4803497176894072
