,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Balıkesir,-0.02848125666474865,0.025755282472748994,-0.015011952494666674,-0.23680812488385206,0.2911223153308716,-0.05659169224780018,-0.4102585798745101,0.3504349911556874,-0.050438759769363364,0.18197680648191822,0.255423538500584,0.48021813137286357,0.3702057851723564,-0.07335340939837794,0.17893380958011776,-0.23914391201259907
Manisa,0.19700668492539095,0.08941000657578703,0.3148452159533525,-0.3602496020209766,-0.1241540849239816,0.3426355740316328,-0.25938055579691677,0.36303095554757453,0.34227978662188574,0.04340502665204952,0.3135498767432749,0.2607495695743345,0.28913325800415546,0.12986640334707555,0.036770821948177684,-0.07242293414782432
Yalova,-0.12108268326449942,-0.23644169681743818,-0.15153591407336892,-0.09826953358148614,-0.16847642488095332,-0.24705590345186773,-0.2539565539014914,0.02528176490060495,-0.3732811730801167,-0.42471913467406264,0.14199384212826208,-0.2297263405195093,0.3518619192510067,-0.31849707064318306,0.3082279272450561,-0.17130960169187898
Çanakkale,0.2808907435893636,-0.10405677751474615,-0.047608180146363054,0.02752398129264773,0.19731999424027735,-0.1651799106911469,-0.5109319728566711,0.21975455813270683,0.10738289625102693,0.25994578250660677,-0.13303018584604318,0.4094125377716996,0.3475904294905534,-0.23182265770340732,0.2665394039972083,-0.14718247607433405
Edirne,0.10701626708227988,-0.12267830764281341,-0.060118956639741504,0.03827171822828407,0.018365714594264365,-0.03634349723823165,-0.37285708899964404,0.19611739455370047,0.21135911826223164,0.21423251873756355,-0.16860532827618638,0.4896273182663443,0.055369271416919004,-0.3864523163410113,0.16867379262309665,0.4996829331773455
Aydın,-0.2327328035610002,0.32655620751215425,0.46542198349773395,0.036900093770753574,-0.326329004028559,0.10536855769689382,-0.11523938837993063,0.11597900580594164,0.5015525347735974,-0.09177673224965457,0.3013795703284852,0.04226028168493599,0.18452477915166035,0.12268954416578699,0.021705096875146164,-0.27336080087806197
Çorum,-0.0835134898747373,0.4931456430624493,-0.21792624309173625,0.22284819904389952,0.23345480851303832,-0.1615832963503254,0.27608455465289694,-0.30743026074115704,0.21456658043285468,-0.22713969438523593,0.4510911689321198,0.12976412695143136,-0.06308669242860575,-0.21013279468921287,-0.18025872534192544,0.05245177703624488
Bartın,0.3866434772638221,0.4247238120229964,-0.6257964516051614,-0.18055600564942453,-0.10531652839913457,0.02585002389528069,-0.2737567297501239,-0.189478579950858,-0.06298311166086394,-0.1461554063684619,0.1647726457852505,0.13521628653737294,-0.06238666742823297,-0.18009424537648727,-0.12046945325582707,0.04110345449802502
Denizli,0.015031242296110362,0.1239836249071659,0.2799590401866015,-0.2949909027529846,-0.29777933893342434,0.1519238873366505,-0.010817105934911784,0.10922569479391317,0.6436012321913371,0.006561936599832207,0.17241913169695128,0.09771414902970413,0.033688130521902095,0.2981743938029647,0.20553055739421758,-0.33072205086912837
Giresun,-0.08531189150149449,-0.3759800627452057,-0.41052750725973386,-0.10938975719802112,-0.1731352219499569,-0.18823868452028086,0.20250643432592308,-0.2734858611207366,-0.3347258185772253,-0.4716212996917235,0.006680616357572156,0.05923962360045143,0.21808557680835775,-0.15592688693322776,0.00298970888608677,0.28238891968310165
