,0,1,2,3,4
Balıkesir,0.45337536663221506,-0.6666918419737556,0.019938317962519467,0.2927622536878234,-0.5136783926438773
Manisa,-0.3482841731872482,-0.40940575810999486,-0.2311729752907347,-0.4480520884912069,-0.6759389332088751
Yalova,-0.3730417072735259,-0.37341132157274776,-0.4226066831888103,0.7366918608836562,0.009620966046886559
Çanakkale,0.44409849780597394,-0.6521998275316688,0.049008062334851894,0.37278817772958733,-0.4858385468294748
Edirne,0.4930738461246169,-0.5771791887600878,-0.02417490894840652,0.5778551570355787,-0.2987329201725977
Aydın,-0.44950654756005565,-0.2902340214484793,-0.1641918652070265,-0.5978966938739668,-0.5738193542822523
Çorum,-0.11205125786312757,-0.347146613250207,0.47061607593931765,-0.37095724011461184,0.712632429513442
Bartın,0.6248438575230252,-0.6202175284254444,0.3229871010580323,0.28882059616299566,-0.1927754313489114
Denizli,-0.45151684514232415,-0.2543127184227352,-0.16433919572239536,-0.5292027257249031,-0.6514558186368513
Giresun,-0.330730303465795,-0.28114014658756736,0.32375136780345354,0.04972867895076777,0.8392197535099784
Afyonkarahisar,-0.3877989830426277,-0.2393976471987375,0.036903467341450044,-0.49913511913559094,-0.7360726745440904
Samsun,-0.23951586686501045,-0.3727232764351254,0.44183783868589427,-0.013298319178996525,0.779943579841362
Amasya,-0.23670475731320262,-0.28128222539511266,0.38339977419367716,-0.2633763059975493,0.8052879622404605
Kütahya,-0.38393979623206503,-0.3834464454375605,-0.0020140082167687066,-0.3968596660263968,-0.740308993328394
Bingöl,0.39493244946166994,0.35763660245293855,-0.7896309833097048,-0.18826523677654028,0.23908896203494265
Ordu,-0.1746621824788434,-0.49524210791612316,0.5710780156151437,-0.0706995740534046,0.6269767514575475
Şanlıurfa,0.4020032763298955,0.5443318267546695,-0.6077461790099977,-0.4139211248493108,0.037551464740847
Elazığ,0.33113366446701853,0.4034430419028975,-0.7873381267665599,-0.17267358074377184,0.27904608373820533
Mersin,0.2866302198011506,0.9422350701794691,-0.03166323768110512,-0.061120549560839135,-0.15905315910589835
Kocaeli,-0.28633836815899943,-0.3997302916707634,-0.16295326585559938,0.8551514827380502,0.019702983498852654
Iğdır,-0.5922186488539671,-0.0441792825230292,-0.5004287184803625,0.6267098900647146,0.0642734343294906
Şırnak,0.5052788311663431,0.33717248422510765,-0.6954859720633296,-0.3298173749167086,0.1962849472649905
Ankara,0.3127832283808651,-0.14041429395751112,0.6296132984050301,-0.5604389470108452,0.41466342886848706
Van,0.23120460288335698,0.16996017400861194,-0.9388416838579925,-0.11361084096944815,0.15273126831600592
Tekirdağ,0.5318634230630841,-0.6307650884018722,0.12581706160952813,0.5402324148828022,-0.10759046137477533
Diyarbakır,0.32597678389985263,0.25287444391151653,-0.8202107528944034,-0.394520451349224,0.037437765402738486
Adana,0.2905122468884102,0.9284924964558541,0.04800264575183092,0.006232108998813733,-0.2261884728523413
Düzce,0.5205030384523694,-0.6187314233301163,0.2754485814617911,0.4769693671625782,-0.20706596655403417
Çankırı,0.415595915504061,-0.4944198311662701,0.6163593531714798,-0.030728041101882785,0.44942852692495466
Burdur,-0.5238599640110985,-0.1695851033788888,-0.012282768244424643,-0.5523445039559317,-0.6257605879025873
Kars,-0.6259873831360282,0.017845138480338724,-0.4040936738898229,0.6666442765129793,0.01072653261015497
Kastamonu,0.6299578580394316,-0.581747975213166,0.41395684669415633,0.29820808205029015,0.06658873256543368
Kayseri,-0.1023076957101368,0.8563214704874842,0.4981112228450166,0.0853114646473299,0.029220510881986878
Artvin,-0.7345174120805221,-0.11620210362751855,-0.04261115198708867,0.5446677748817947,0.385360282326448
Kırklareli,0.4641481258799619,-0.49427333070265383,0.018358578756969814,0.6625492476472568,-0.3177292067567952
Gümüşhane,-0.6208749719772463,-0.0951973390703602,0.13262679268533364,0.30264286036666543,0.7044637455094913
Sivas,-0.29147262194507084,0.002756288886210821,0.4955624185073202,-0.2825910353273812,0.7678517497823497
Antalya,-0.42842333694746265,0.14694771268414242,0.09690273263957253,-0.6354574837309749,-0.6177891718644645
Erzurum,-0.6749154546977187,0.020486892759913194,-0.3138432428036707,0.6579217438182569,0.11274224670830069
İstanbul,0.34697381312255077,-0.4655601144526995,-0.3205700102253066,0.125471770402794,0.7378039415821266
Bursa,-0.5575225363660989,-0.21816272604955067,-0.4371234937268265,0.6620784206483715,-0.1102218787280993
Eskişehir,-0.48527477492597826,-0.3554448706355034,0.01233806259289736,-0.36391010701759313,-0.7110446842367567
Konya,-0.1298336105285618,0.7348679335784243,0.4241529657894538,-0.019370885670981528,-0.5126708341378768
Yozgat,-0.11539294220712965,0.41152901793452057,0.8039270172286422,-0.10741378404015109,0.3993644529182148
Sinop,0.10230535073330811,-0.5674702440313815,0.5851160388742594,-0.03328160916017921,0.5692474794797989
Isparta,-0.3848337198560602,-0.05692530430764372,-0.026318501243534867,-0.6066184029596741,-0.6928087524520589
Aksaray,-0.06147465460227375,0.7716785090441786,0.5816111489370026,0.0772298282113421,-0.23769133469167736
Ardahan,-0.5528650594728582,0.013617707808231107,-0.3879524340399949,0.7182906594036378,0.1664518596593414
Adıyaman,0.44089608089817384,0.642715290287641,-0.5689144194518958,-0.19990848478905102,0.1700020074239203
Kahramanmaraş,0.13114555501065775,0.9511362640041008,0.1849444751864547,0.10187597255546547,-0.18318700284450617
Osmaniye,0.1741359006479448,0.9241272311432164,0.2079785947193721,0.1767463868236118,-0.20290679547135612
Niğde,0.16155462445353924,0.7409870179222346,0.5379900365802454,0.10288655650232405,-0.35329791907095964
Tokat,-0.030934752655057157,-0.37402645512189114,0.4414504432646849,-0.14708528785557332,0.801644981388257
Bilecik,0.41427786824418467,-0.6180571623386296,0.043062090667754085,0.38361331563114986,-0.5453124539039729
Muş,0.12758966464206814,0.15228078178961207,-0.9727439373573338,-0.09384185198797573,0.07412408599158268
Ağrı,-0.5970875660469389,-0.02784430652528731,-0.5634588611753845,0.5689533676314958,-0.03895266730260118
Hatay,0.18601752850694903,0.8857170260439131,0.21607628175190097,0.04125268613973002,-0.3640220944044777
Kırşehir,0.059147404713708544,0.7869033091427906,0.5988606387673802,0.040456333576981134,-0.13043767471245316
Bayburt,-0.596007778077718,0.01581540479057864,-0.3104229310246757,0.6978695633035356,0.24726560203706852
Erzincan,-0.6995066344503005,0.1730708787114383,-0.37986283905869594,0.4730821427757934,0.3356105615009687
Siirt,0.455575941033407,0.2916705556767954,-0.7955879250448262,-0.2476842602659551,0.11432939098101408
Karabük,0.5408019404054876,-0.4929710779195236,0.4292527677740804,0.41947809559491456,-0.3229442154039573
Kilis,0.23765798062454707,0.9159283415196233,0.31268240648939893,0.0660907181608639,-0.04955488968360473
Malatya,0.4351484991189478,0.4384378667648284,-0.6714737213451212,-0.29528363453585615,0.28345835217799303
Uşak,-0.4362210509900831,-0.2945647808733036,-0.09527217292261,-0.6107331032533466,-0.5838416516482112
Karaman,-0.11704559318350445,0.7577530599187938,0.4492265269716871,-0.02656598021528348,-0.45782136850542915
Bitlis,0.3477439192796279,0.280755673232734,-0.8498845246415986,-0.25860048941894176,0.10522594831449916
Gaziantep,0.24439245895410994,0.959062861290577,-0.07475000666794529,-0.04208796738860728,-0.11450674042925561
Rize,-0.5844353063527127,-0.22306894474050457,0.2099828312058239,0.2162944231976713,0.7195829011817481
Hakkari,0.40164615140100923,0.2600363622739285,-0.816831975447292,-0.2683236494904594,0.1784640086154487
Batman,0.2917525746281172,0.22098029715746392,-0.7784520064941682,-0.46444052188149065,0.21060773652863687
Mardin,0.3292048752828764,0.35126659733120336,-0.7818159110254786,-0.39599457708179386,0.01371509673885495
Muğla,-0.445002543858918,-0.13847573046299752,-0.05986081775991175,-0.582330432398466,-0.6634042191843229
Zonguldak,0.4825162510332387,-0.6719523688819864,0.3821150542020677,0.35009378699229027,-0.21698043023338098
İzmir,-0.558498600259812,-0.2272097510359076,-0.22131361167337876,-0.5254245463384954,-0.5580361761885179
Kırıkkale,-0.1852197151683091,-0.14479991742082546,0.5886813400346205,-0.3341143450045226,0.6975303042772658
Sakarya,0.415599548831578,-0.627733084649932,0.0961263863586314,0.6177632073971759,-0.20580701367751061
Nevşehir,0.04805578908369195,0.8177203143319184,0.5424946789015056,0.041468703665054944,-0.18167002681880315
Tunceli,0.4340332771972389,0.15547367162904233,-0.7464622985989993,-0.4575485943165604,0.1445211829623866
Trabzon,-0.4767019939831089,-0.2645656935397132,0.27854033602067424,0.19103746628322635,0.7672549578985812
Bolu,0.6409470820931884,-0.4961663014167928,0.3132299988697871,0.4258012859597546,-0.2521627886458676
