,0
0,2136.4347694589414
1,1631.295039601114
2,1557.9205726164862
3,1524.5714363495279
4,1500.5979761403185
5,1486.962600157313
6,1475.6229638544628
7,1467.0529337493228
8,1461.2856585526094
9,1455.6324747887793
10,1449.8304053728225
11,1448.0955693353621
12,1443.4392003205696
13,1441.1213993929143
14,1439.2958119900513
15,1437.6786659612367
16,1434.6980936470663
17,1434.150610304249
18,1432.458634683778
19,1430.703424817165
20,1429.6516743404204
21,1429.0048542278578
22,1426.2296613558517
23,1425.5552082465656
24,1424.9159054882298
25,1422.998907960728
26,1423.0823125175841
27,1420.7617405945307
28,1420.557375328668
29,1421.5105451280328
30,1420.149595744965
31,1419.5079203433743
32,1419.4697230866402
33,1419.0605668719106
34,1419.5583690955636
35,1417.8883787975367
36,1417.6989037906837
37,1416.597889869943
38,1417.0570263490247
39,1416.7575146927668
40,1416.704863902196
41,1416.1203734336686
42,1415.3332891639645
43,1414.3271857432628
44,1415.4151554791833
45,1414.6602673574448
46,1413.5532690324694
47,1412.7277707327576
48,1413.7035299510144
49,1412.1358368359256
50,1412.0223533622298
51,1413.7988876448353
52,1412.8811057324026
53,1412.4759232799597
54,1413.3846046548426
55,1411.9406413914862
56,1411.9984427148422
57,1411.6348297619127
58,1412.6949723978526
59,1413.1110831172266
60,1410.8521696663627
61,1410.849875415255
62,1411.4822375785864
63,1410.8688766020387
64,1412.3092206427254
65,1410.3886945543884
66,1411.7383431189382
67,1409.5228546019086
68,1410.8659836705442
69,1411.2256878709964
70,1410.1701689873896
71,1410.5001067734288
72,1409.8842018535947
73,1411.1031128959053
74,1409.7300707834295
75,1409.3707610997244
76,1408.9825148569655
77,1408.6758334366393
78,1408.6747629621455
79,1407.857071304489
80,1408.5738789760458
81,1406.5751219835959
82,1408.0617853374229
83,1406.6898202984248
84,1407.5199461704547
85,1407.1699278200101
86,1406.8366324142241
87,1405.242171456016
88,1407.1744091593969
89,1406.5266289396413
90,1406.983601941739
91,1406.9812287747134
92,1405.9933296274132
93,1406.342733239945
94,1405.8521519533251
95,1406.2366852777054
96,1405.7869994004218
97,1405.0157919854425
98,1405.762362106127
99,1405.6633710824938
