,0
0,2179.8140857099893
1,1669.3941945519343
2,1589.6757468453097
3,1544.0102595977462
4,1513.3012361319782
5,1491.7316398366365
6,1472.8986738754909
7,1460.2318052445544
8,1449.0838089031872
9,1439.2009841320987
10,1432.0413649708005
11,1425.1708824700643
12,1418.2800416842624
13,1410.3717406936967
14,1406.107402293787
15,1401.5142306574828
16,1396.6590578582548
17,1392.5722963567569
18,1390.690866553253
19,1387.9099365837608
20,1387.2006683225386
21,1384.4193988235245
22,1381.9521054682943
23,1381.5313630676715
24,1380.2561690976886
25,1377.5221413831032
26,1378.120793442241
27,1375.0288768704027
28,1374.7216825329945
29,1373.8111374859016
30,1372.0647787999956
31,1373.1953494385382
32,1371.108848846553
33,1370.0031399343377
34,1368.7692191792953
35,1369.128249175351
36,1367.635154152407
37,1367.2174316807605
38,1365.6496257573554
39,1367.0790996012465
40,1365.219734080426
41,1365.0254925201111
42,1363.8876289865993
43,1364.1355715315278
44,1362.8507782692543
45,1362.3123634681767
46,1362.4943113986653
47,1361.7476749861644
48,1361.5713610565012
49,1360.4897957214196
50,1359.967645460127
51,1359.624680271741
52,1358.9239956485317
53,1359.530539794151
54,1359.521623798162
55,1359.5271215395192
56,1358.5099146885707
57,1357.6850393076056
58,1359.1072383412852
59,1358.0636380381613
60,1359.0338670384656
61,1358.6187047273456
62,1357.4499447654887
63,1357.8829871527967
64,1357.084221867371
65,1358.374779248429
66,1357.161575232454
67,1356.673777470165
68,1357.489847772277
69,1355.523166995062
70,1356.6124762584334
71,1354.9881206139023
72,1356.292302545818
73,1354.029455818944
74,1356.574520867399
75,1354.8177350927258
76,1355.678659881928
77,1354.9335988840653
78,1355.5378690279167
79,1353.5857681482605
80,1353.9259509130968
81,1354.1475295683388
82,1351.8292149617525
83,1353.4165188506672
84,1352.4770648766653
85,1353.1697140827905
86,1351.837750248863
87,1352.810002116005
88,1351.8443663825956
89,1353.317087685854
90,1352.3265377827913
91,1351.5711106820615
92,1351.4669439071847
93,1351.7729946848929
94,1351.3464134694889
95,1350.1247343531888
96,1350.3856662367798
97,1352.0168806186152
98,1350.4815332512223
99,1349.7102167887465
