,0,1,2,3
Balıkesir,0.5249258702703773,-0.3952678571835693,-0.5127784135298568,-0.5525164707193804
Manisa,0.5397234296537166,-0.5149078564994499,0.6650836579973999,-0.035103371102632654
Yalova,0.17276324797456838,-0.3563916495638109,-0.6582256041481236,-0.640216296507908
Çanakkale,0.4958779823121874,-0.4382812939155353,-0.512037328599322,-0.5475694551219853
Edirne,0.29161837574627786,-0.29103434445812826,-0.7163549160251123,-0.5631104399312667
Aydın,0.5618169239920383,-0.4816267173895458,0.6718998645593741,0.030789949947825832
Çorum,-0.6791376931958901,-0.49020545679435784,-0.12165433650305923,0.5326075724392214
Bartın,-0.7360485449552482,-0.5160250874622834,-0.2535389590779703,0.35730749335616235
Denizli,0.5284424658869651,-0.4560275342130074,0.7069864020575907,0.11383178638926396
Giresun,0.1311390013485836,-0.31747298937878143,-0.768963909847618,-0.5391734124491495
Afyonkarahisar,0.5295651791226279,-0.4960363345640677,0.621440003359978,0.2955012657790387
Samsun,-0.03087353859004737,-0.4515804810614825,-0.8524037989512918,-0.26178169774186777
Amasya,0.1710225456374174,-0.30934259157389954,-0.8199997525961891,-0.45017647169108005
Kütahya,0.4471578488494956,-0.656237578722373,0.5818335639827554,0.1757037344737263
Bingöl,-0.2999107866490006,0.5920857065954448,0.4516809385619283,-0.5962150332193628
Ordu,-0.49454173450357863,-0.65692420747814,-0.5441046152528616,0.16682094030410233
Şanlıurfa,0.2943255363643281,0.8629190162530013,-0.0028424227061726605,0.4107738680417277
Elazığ,-0.30340647735644843,0.5684054701802047,0.4260370172459929,-0.6351001424212634
Mersin,0.16446686977951774,0.9286410705515781,0.0856062656713895,0.3213222340697036
Kocaeli,0.15743132164722476,-0.45222046091972673,-0.7585347518975984,-0.4419695281957872
Iğdır,0.027511571365391264,-0.1454653341163154,0.6460152453203765,-0.748830590203879
Şırnak,-0.30539392744746124,0.6052289397069331,0.5022544321313128,-0.5368174410578413
Ankara,-0.7706021049326799,-0.18515366933699456,0.15906233659922864,0.5887186829717259
Van,-0.26921428680509535,0.3712584596994789,0.49343106348407045,-0.7390646855793974
Tekirdağ,0.1279504073439136,-0.32166296118654114,-0.7842237019214883,-0.5149318576334048
Diyarbakır,-0.29510717099525935,0.5390393703741557,0.5458736455010879,-0.5695351419896415
Adana,0.23606808838290738,0.9223476430802171,0.04055183716364019,0.30315380824634547
Düzce,-0.7310696219346852,-0.5580120678439597,-0.2631685851959197,0.2913795390736323
Çankırı,-0.8455792492975528,-0.30511692360203135,-0.2364881674681221,0.36874482062340735
Burdur,0.5794350320605312,-0.3810726297229822,0.6829231197463326,0.22946613478454428
Kars,0.5739322806985981,-0.1819340301798241,-0.48186446884851214,-0.636638342778672
Kastamonu,-0.7798068349837981,-0.4879577539212596,-0.2384148709636721,0.3113789970502929
Kayseri,0.23131481336911724,0.6925868344418067,-0.2206855936523823,0.6466179727073658
Artvin,0.32601337494600796,-0.3174130195307424,-0.7550823219005296,-0.47203277591920995
Kırklareli,0.28747661030419835,-0.25011006603698294,-0.7694178027147728,-0.5126386624714868
Gümüşhane,0.44463512008274747,-0.25432350983996765,-0.7096010283895534,-0.48382387584757375
Sivas,-0.42561261967596775,0.5613864512799391,0.4054687882614632,-0.5824896668934628
Antalya,0.5941814804861959,0.31556430176614675,0.21385474562593826,0.7082610306033659
Erzurum,0.7689329746073373,-0.5623360968435024,0.2708990334918522,-0.13832537150323257
İstanbul,-0.2410348686555866,-0.07193611253532688,-0.7101425960230384,-0.6575902075906762
Bursa,0.46595321731833766,-0.32209078296085114,-0.5541176640329425,-0.6099989682032513
Eskişehir,-0.5716318621182397,-0.5148896494015367,0.2213530165934514,0.5992733142693537
Konya,0.46583393711693605,0.5627193081250196,-0.009102133684961709,0.6828344414686586
Yozgat,-0.6669738458306987,-0.2677202798581139,-0.22774438406034797,0.6569659323431264
Sinop,-0.6500911648193174,-0.5593803088951554,-0.438058523618303,0.26940652800104237
Isparta,0.6388150097045391,-0.2884233710168439,0.6193393012480195,0.3537600491252294
Aksaray,0.3350313214973941,0.5908635489353,-0.22095587720932997,0.6998662589966367
Ardahan,0.6587936999654098,-0.5826327042607302,0.4737501137182586,-0.045725513268318786
Adıyaman,0.2349635225453164,0.9268601595402817,0.04797962024111215,0.28882580177605116
Kahramanmaraş,0.31879845785870276,0.8713045654952377,-0.03692321213722566,0.3712580959649732
Osmaniye,0.26371377949731223,0.8573021307824102,-0.014459941791901739,0.4419038460372989
Niğde,0.20938582826377175,0.6898776151685992,-0.292192599433729,0.6283708585284179
Tokat,-0.7789574077876756,-0.46007324128415744,-0.27834294469334475,0.3226192409736773
Bilecik,-0.7491985243118569,-0.5293552859588939,0.17024737672720022,0.3598616166164716
Muş,-0.1947801334007619,0.37212380576611226,0.5951629214664559,-0.6851026709377503
Ağrı,0.563294122179707,-0.49530590490155185,0.6424427863723375,-0.1569683366975491
Hatay,-0.22090439195646983,0.7530142488156701,0.4652373634733858,-0.40954241089690224
Kırşehir,0.21143185885622778,0.6349633759416341,-0.23082860883374987,0.7062833946917334
Bayburt,0.7275012386215043,-0.5558371026762003,0.38933965562685174,-0.10100344374855999
Erzincan,0.6281827777378668,-0.48270425436144165,0.6054402172155843,0.0763226306730074
Siirt,-0.29603988883067034,0.5311680263360083,0.5131789899424827,-0.6056964885989078
Karabük,-0.709777879685984,-0.4825968077247424,-0.24771712521429587,0.44939059687305594
Kilis,0.17294854122269313,0.9644867774235308,0.05779127551453234,0.1910869611944214
Malatya,-0.2342426823516731,0.6959795840501235,0.40409407820223037,-0.5453904659159347
Uşak,0.5317264952429427,-0.5308744529286147,0.6389494435480163,0.16487224773769907
Karaman,0.44528092576252276,0.5271734312059146,-0.0678859823994081,0.7205585083643941
Bitlis,-0.24316984099950953,0.4564876872719973,0.5362779790479903,-0.6670032601011329
Gaziantep,0.24951292575634468,0.9190831970373771,0.07117351015007138,0.2965867634554531
Rize,0.316452383473872,-0.43977761265789156,-0.7294255988152563,-0.4176024858542343
Hakkari,-0.2862436596314103,0.47111229540586985,0.5558989945954104,-0.6221688518770782
Batman,-0.3162541625163683,0.6159116705812115,0.4820108071786902,-0.5369373338629746
Mardin,-0.18794710991371422,0.6284289499586223,0.5037696437757448,-0.5621112743390271
Muğla,0.5452327490329375,-0.43371835821552335,0.6945611226611775,0.17942820853049188
Zonguldak,-0.6436175107060953,-0.612081487884646,-0.3445031989085407,0.3040235156088906
İzmir,0.6433898979289259,-0.44276722875701335,0.6223926182155205,0.05132298873477758
Kırıkkale,-0.7345084718708791,-0.3020923389260438,-0.08560648981406581,0.6015887735104544
Sakarya,-0.7438602046402006,-0.5688140699222941,-0.2601571961840079,0.23545866534224233
Nevşehir,0.2739694768586119,0.665050338646856,-0.21369865124557735,0.6610458828790493
Tunceli,0.38498565758273867,0.8129088547841578,-0.11013957081240805,0.42288829755664054
Trabzon,0.26321064320921733,-0.3630973104894976,-0.7505525472595334,-0.4853363516355533
Bolu,-0.7776086296409515,-0.44722896110516674,-0.1599127956176929,0.41199389953547744
