,0,1,2,3,4,5
Balıkesir,-0.6437695285972689,-0.33022649372446344,0.49426394830727866,-0.16849035349291244,0.44647574911789173,-0.0669687428973221
Manisa,-0.7648258351157591,-0.4183488544910488,0.38860276124841747,-0.24416334314944482,0.16468199939139508,0.04772497013255522
Yalova,0.22922592937980713,-0.16802876673896366,0.7824742362932117,0.41544050887428535,-0.32823149676862085,0.16318438804250707
Çanakkale,-0.00837147362322209,-0.13486496802967535,0.5525427566205284,-0.022313001911446095,0.7942020204609099,0.21256326487760302
Edirne,0.5206648423035454,-0.12378790666807858,0.16069215422748995,-0.4400664730998516,0.6837428802502346,-0.16309469850997263
Aydın,-0.7904503522634413,-0.3832268226782181,0.2667046239247132,-0.38261347449053873,0.09400214257795725,0.04432395393878545
Çorum,0.012909841728225712,0.8298123309171463,-0.23303380796028186,-0.4904943112940728,-0.04092211497570213,-0.12116429707634112
Bartın,0.299949506441865,0.366718778052284,0.47302031832411406,0.12175554161451607,0.7303330287901475,0.05990546724665845
Denizli,-0.8670255995840427,-0.29743908219615506,0.23168620130603415,-0.2688403275738861,0.18334188816254388,-0.015124036748796333
Giresun,0.3229345446165262,0.2758834348372217,0.28566642291634226,0.16327738519277166,-0.3201512513675201,-0.7802819854554741
Afyonkarahisar,-0.8570084960605422,-0.1732706783691896,0.36001560060909776,-0.12267757035368489,0.16444559943841683,0.25260707744054944
Samsun,0.223064116743191,0.4653239939955428,0.15566977333008114,-0.2888165781876323,0.03292705129605964,-0.7905591031427764
Amasya,0.06362511535740754,0.3746513401048014,0.05368718142083635,-0.2769299513471218,-0.09295610842957781,-0.8759993541989792
Kütahya,-0.5766795604342748,-0.06486357831796606,0.6498646951114005,0.20626368270652587,0.335040522780018,0.2934491780948126
Bingöl,0.02599019622536566,-0.3908909227698594,-0.5855079108277271,0.6809378481449203,0.08758776273181113,-0.1798925049518364
Ordu,0.4106180582565917,0.5109416376451252,0.34515073736456225,-0.23436590164663637,0.4031545402965996,-0.483468160724571
Şanlıurfa,-0.0898872335241412,-0.3353337975288527,-0.7322371250442254,0.5545122216348879,0.07254986379734918,0.17479426624391747
Elazığ,-0.021527696268270793,-0.30620990156893074,-0.5323924291100749,0.7494851239090894,-0.05076155420961996,-0.24088517919125152
Mersin,-0.06603016962535305,-0.005262198049853167,-0.739215992296342,-0.047522848456808625,-0.40777898437662474,0.5297451476696933
Kocaeli,0.37072257183975166,0.14480948921958994,0.8016293835291353,0.4029638891853985,-0.16427485136513678,0.09807749611771556
Iğdır,0.3687289638359653,-0.4415007457814289,0.23930046635316707,-0.5192370214156116,-0.48065153336250394,-0.33349415073397015
Şırnak,0.3472092417527006,-0.6933556196619418,-0.32925777264733447,-0.4847075257242792,-0.1472049492282774,0.18352755571026147
Ankara,-0.07246274620368102,0.6934732008769122,-0.16527219252846845,-0.34220469478646776,-0.44579666027280596,0.4131470162190407
Van,0.29793924914043374,-0.673364457126114,0.10338289180812692,-0.3592579992100035,-0.47279790998049304,0.30744156469804146
Tekirdağ,0.5412720886668279,-0.08326383219290373,0.08895924360113021,-0.5268183961717532,0.6277888845269584,-0.14325294822842422
Diyarbakır,-0.033881661993756106,-0.7288889447530887,-0.5430708390506993,0.40050439857840137,0.09016870979992285,0.0641313765828318
