,0,1,2,3,4,5,6,7
Balıkesir,0.23272084030283974,0.4104265158623656,-0.2552403790986391,0.6927736115923894,0.3387033253616181,-0.3396981453341365,0.020606252168121016,0.04205671577468309
Manisa,0.07975928843703062,0.23546678100087354,-0.23188980231343115,0.6512648341743367,0.5411319491856597,-0.35442971051673783,-0.1562401156267938,-0.13198449320466335
Yalova,-0.017938259591644575,0.5469815932625356,-0.23534332064529798,-0.07823282461573393,-0.2704102143232032,-0.2712864222241924,-0.20222793992866878,-0.6718395310442606
Çanakkale,0.23163222966968253,0.058494519462438006,-0.47984219675006307,0.7063698984410088,0.2362583816454794,-0.3645816604857367,0.13731893276905496,0.07825365683794724
Edirne,-0.2593888281686667,-0.2848056662254581,-0.6510855638699068,0.3899609729210358,-0.32492341577099454,-0.3110053245707347,0.18668692989812083,0.19613681093414978
Aydın,0.10319418719186862,0.3437056453984928,-0.024492651312060867,0.6373235083942852,0.6267497036110128,-0.2555786890796401,-0.05384452139592708,-0.05832113646186353
Çorum,-0.5062841932807722,0.22878342226598655,0.08179350638559262,-0.4348441412303374,0.2753528941732928,-0.18411399704938727,0.17093604903984147,0.5971754711813272
Bartın,-0.008845002121545856,0.463857203497423,-0.7045155676332264,-0.45167705236293604,-0.2165404832288038,-0.03595148320244345,-0.104633279455812,-0.15897642228042846
Denizli,0.338409282956764,0.04906579287492659,-0.42608575331115583,0.5862744560137189,0.531125072416027,-0.2519086404594687,-0.01950186597015317,0.10896224009233661
Giresun,-0.12071223473613493,0.07096849831083035,-0.03833412205454819,-0.21101791002226017,-0.4996399662757376,-0.44023160623654845,0.6799614970647112,0.16912233692964204
Afyonkarahisar,0.4958243617227142,0.2783290451093296,-0.24698664560687006,0.37010563285931675,0.6636358672902005,-0.15161950382487188,-0.12304175607776088,-0.013048001979077899
Samsun,-0.27915534731323144,0.1304180119864564,0.21106219879023472,-0.43138310656120465,-0.1598325578312017,-0.5077747957810828,0.461818154652777,0.4216243589868647
Amasya,-0.4183799030180294,0.1477441544391816,0.3643242130795307,-0.4458292148050346,0.15386022783077968,-0.13579621898059352,0.014324195621286622,0.6552215924343617
Kütahya,0.36151831353197483,0.5220126410887501,-0.3219991524705927,0.42524913505831285,0.4634716760439086,-0.2032094318571605,-0.07308988721351871,-0.2254879845166393
Bingöl,-0.06302065278598924,0.11555385927509809,0.42012570887332096,0.43920125763728846,-0.4032214912987104,0.5181945082944865,-0.42516333034717013,0.03735465190515097
Ordu,-0.24242528945808023,0.15226914100546626,-0.11060197803885992,-0.24584050593772722,-0.3583245149602347,-0.4034201793455207,0.6152660886228477,0.41913849368541695
Şanlıurfa,-0.4422742107012112,-0.1953113584963,0.296260381708514,0.03810568759863607,0.35841237071432536,0.4568469401913033,0.07717652149310199,-0.5778407816003627
Elazığ,-0.004694547476423476,0.2176174909822983,0.5358975081496438,0.2915127308632206,-0.33123954229135394,0.587185619136212,-0.3140574013105228,0.16527595206366266
Mersin,0.11386835859928988,-0.45182584109550067,0.23688535959072823,-0.11341272954189052,0.24185746228630556,0.6793241963310462,0.0938051584653417,-0.4302725669602642
Kocaeli,0.2695550313940195,0.18755645395919363,0.17882894289987572,-0.23935175723365834,-0.40166826707311953,-0.7033383359245945,0.15102475366643872,-0.3522256653683626
Iğdır,-0.08707359713728068,-0.5239602364474252,-0.006032064537371524,0.170251818491651,-0.30861338495722584,-0.47374633887218537,-0.6070399899658344,0.026199759807264102
Şırnak,-0.5804849108057621,-0.34975005681510013,0.08819110982496005,0.18628581590026735,0.22405354841242414,0.38488600199332246,0.0030729621286170843,-0.5476179497094932
Ankara,-0.2354510817399213,0.3001106736324012,0.062168808780090276,-0.5973346744648808,0.44653745236363906,-0.024585252784967555,-0.46432394996681786,0.27968882002237644
Van,-0.23676177590053357,-0.6228332129103504,-0.02291700376770368,0.24730752506530468,-0.08277747564632228,-0.306082239416237,-0.6089910768647743,-0.15141951621645863
Tekirdağ,-0.20701641328323217,-0.3752572498183564,-0.6587743061908317,0.17320705871570674,-0.3704768790470113,-0.3122017510262445,0.06836320400471123,0.3360734302052082
Diyarbakır,-0.43731932427049314,0.020036515527878367,0.36595028937600554,0.4555038247180484,0.014186937728377248,0.44851503333260556,-0.2575825202614202,-0.4463532670052572
Adana,0.3059682294046454,-0.40841169399883553,0.24432036312064895,-0.10766969098294348,0.29378404553854953,0.7090815525875866,0.14576971919093548,-0.2407147771579387
Düzce,0.08477148076105014,0.4532830075078585,-0.5033596620277991,-0.49314429854737857,-0.36944113381907046,-0.19484087759481322,-0.07265405150667777,-0.3332532557499035
