,0
0,2290.3127704290055
1,1765.4592955808305
2,1668.4991682386399
3,1620.0684961833158
4,1586.5317506019762
5,1564.242843800018
6,1547.122314730561
7,1533.3138083959527
8,1524.3682378446977
9,1517.6839410460966
10,1511.1779619964898
11,1504.1808419863837
12,1500.0421879422113
13,1496.1216246902675
14,1489.4620179010585
15,1486.7934030361002
16,1483.2493531304
17,1480.10410233341
18,1477.2448685478676
19,1476.3925575377702
20,1474.0411570625354
21,1471.8685847150089
22,1471.2935195264818
23,1469.3451854050338
24,1467.8091409307633
25,1467.5698464364812
26,1464.9766603718558
27,1464.4770690938728
28,1463.8315249683442
29,1461.1980578370844
30,1460.5237780685625
31,1461.8190733375218
32,1457.5494802077592
33,1457.2301453336001
34,1458.168782069573
35,1457.2825698277666
36,1454.611488675644
37,1455.8626889477446
38,1453.86545989773
39,1454.6591788026753
40,1452.457189728052
41,1451.8898503831804
42,1451.0883005584487
43,1451.1047704470964
44,1449.2940311427633
45,1449.6955325202991
46,1448.433672091501
47,1448.6497300502667
48,1448.0410491978193
49,1448.1420119668446
50,1446.090494389952
51,1445.9147809983585
52,1445.7864754262953
53,1444.5470949813737
54,1444.6505095311204
55,1443.7946558069393
56,1444.0225779053847
57,1443.9104482507041
58,1445.404549976284
59,1443.4631825546617
60,1443.6301591013182
61,1443.2638064043874
62,1441.7233556659473
63,1442.5771337748095
64,1442.5887893956078
65,1442.1368253119308
66,1442.983373621613
67,1442.520292600782
68,1442.8303985514483
69,1442.7332847028306
70,1442.642178598277
71,1442.4077976305723
72,1442.417361274508
73,1441.3900419607673
74,1442.6072572910764
75,1442.031075830906
76,1441.3077900050669
77,1441.6213190106055
78,1441.9449211020096
79,1442.0866974769624
80,1440.1298213737632
81,1441.9200354777847
82,1440.9212844058586
83,1441.2625484518637
84,1441.9763183059315
85,1441.8778703963235
86,1440.34825809638
87,1440.1180860239517
88,1441.6839698699077
89,1442.5209002473032
90,1440.9318237255882
91,1439.9984195166558
92,1442.2905949819187
93,1441.9556945403565
94,1441.8501395070386
95,1441.7218161941246
96,1440.7663546256877
97,1441.321348846274
98,1441.066530839292
99,1439.249545357939
