,0
0,3407.0063588234357
1,2971.383233600285
2,2853.1943740316574
3,2762.244330041025
4,2689.344213468254
5,2636.280101306698
6,2588.659583420329
7,2551.91808914789
8,2524.366922577009
9,2501.6911278583643
10,2480.652900924425
11,2464.5265066673755
12,2447.805956266585
13,2433.460424889556
14,2425.836509332072
15,2424.7406449939795
16,2423.545147896353
17,2423.477579226143
18,2422.449483860697
19,2422.036736733314
20,2422.2211960160716
21,2421.1916772058707
22,2422.436165803767
23,2422.244185031181
24,2420.865102113703
25,2422.2155745681844
26,2424.0720145396413
27,2421.1714577613807
28,2420.8012430331564
29,2422.7904011439186
30,2420.489300308003
31,2422.4335156794723
32,2421.9167153443846
33,2423.8389603327078
34,2422.4838254582355
35,2421.838041566856
36,2420.613836975967
37,2421.7844833162517
38,2421.9281187010965
39,2422.2815266705484
40,2423.19505763852
41,2421.1083875280924
42,2422.7677850424643
43,2422.3541677549565
44,2424.3694926553917
45,2421.2696649232003
46,2421.1626247692225
47,2420.213339113188
48,2420.4261438247263
49,2422.020948507288
50,2421.6369757720104
51,2421.3733041966525
52,2423.589392384754
53,2420.213813212513
54,2421.338339519816
55,2422.465636768354
56,2421.893889133701
57,2422.0855769942164
58,2422.487495377226
59,2421.6199256146965
60,2423.3263031827983
61,2420.8260559252344
62,2421.2907393801406
63,2421.3137678199846
64,2421.938806443868
65,2421.013803970112
66,2422.91866374211
67,2421.8075016747744
68,2422.6666779141633
69,2421.8462909158234
70,2422.3545243377
71,2423.1157870828392
72,2421.034955200275
73,2421.109171901394
74,2421.715277590607
75,2421.5783320538303
76,2422.0065722815316
77,2422.1983794342077
78,2420.2200579887153
79,2422.086174970214
80,2421.3266003786316
81,2422.2908710289967
82,2421.4034428243435
83,2423.8511949294416
84,2421.253169497723
85,2421.999407609727
86,2422.1082370927497
87,2422.0795975479687
88,2421.2884971708245
89,2420.569815307701
90,2421.2828153229307
91,2422.5451238436603
92,2422.069238242413
93,2421.382608067272
94,2421.3764593002406
95,2422.5772604604135
96,2422.2744952840717
97,2421.4601198484056
98,2421.4165951774635
99,2421.057626464431
