,0,1,2,3,4,5,6,7,8,9
Balıkesir,0.0775750512336791,0.3171827421176281,0.22590961697182615,0.3787490660808607,-0.22300401827294491,0.7002910025402881,-0.20691927244041108,0.17229219099864487,0.06539153021023672,0.28631572156794355
Manisa,-0.008970558708795632,0.3887748543742526,-0.023138593248107197,-0.17800771815569855,-0.05272235625698127,0.35263841139101,-0.025578602492826792,0.6317552886324012,0.072180561228147,0.5333281920026945
Yalova,0.40075492745222463,0.18458883312039587,0.14308895539894992,0.43598108360761256,0.16562733785839995,-0.32929752287673125,-0.635824986484115,-0.07515937037664541,-0.030892776323304363,-0.2191403996265171
Çanakkale,-0.008208050979199674,-0.12870925291305835,0.2508302962474312,0.4397770836513452,-0.04610911935116198,0.6995855023732227,-0.3882493797331564,-0.13223394309467149,0.01814012031237074,0.2587439830036667
Edirne,0.2551603334349168,-0.04476996625162834,-0.19742567598148067,0.19052548814925388,-0.20153687676725102,0.7563405652127557,-0.252957054070161,-0.17449764517655206,-0.2278205471420044,0.31401422074868984
Aydın,-0.25995996971852875,0.12023214328271235,0.21500156133370826,-0.276211158286101,0.13426176581508353,0.10917451979467303,-0.2418186869574668,0.7666050914433357,0.22429642755611556,0.2627412072603177
Çorum,-0.6471132083405584,0.2351685017028253,-0.3275967047085553,-0.19830808214991968,-0.26246975522472904,0.052466843142872116,-0.040681096973512035,-0.19976214217087485,-0.1280190590499978,-0.4997025999565478
Bartın,-0.20537094279150786,0.2384471228327103,-0.7048335667874708,0.3106043814115875,0.241492235035492,-0.2248786310365947,-0.17447464178682673,-0.310370579962961,0.011846640013929618,0.2681413212378326
Denizli,-0.3051914378448588,0.2604028197068425,0.2255934734211251,-0.37296615956865226,0.1896189813230959,0.13050852945926147,-0.18275966751366007,0.6014683689463115,0.2103013389335408,0.3958189029238107
Giresun,0.2274258414136548,0.139283904074564,-0.08714265078914357,-0.07441295305899442,-0.3047701619162714,-0.4492644961265814,-0.4074639935062213,-0.3353773438922784,-0.53097731070612,-0.2461323611274995
Afyonkarahisar,-0.3967177101181589,0.5003326798551917,0.3613852274060872,-0.3207713101414021,0.2219446274229648,0.14212554674987632,-0.04358129675488843,0.4031463787568337,-0.19034059702694808,0.2977814437827098
Samsun,-0.1770341449453049,0.16424930960674602,-0.10312845687691144,-0.3099173812073387,-0.29093677405813245,-0.11233724298620287,-0.3982388770697887,-0.2478286772724248,-0.5879594689970591,-0.4147569863090439
Amasya,-0.25543755787124034,0.14593802831783212,-0.01859191261533369,-0.222993141299687,-0.4671676515335882,0.1575199954484542,-0.2386356091267361,-0.14759298401846058,-0.5910694681158982,-0.4384406721770008
Kütahya,-0.02727242055914956,0.7240792796387894,0.2396925746319396,0.12949922883103496,0.1433598926900098,0.07092843113605157,0.17145010755847134,0.4572990954364314,-0.046000788870009635,0.3667782101653946
Bingöl,-0.12791372488936228,-0.1695391352716809,0.27666165596744363,0.642109072471648,-0.4364114968964041,-0.2944136158866076,0.22932092648479954,0.21245258926464727,0.11196338310315304,0.28045403679644315
Ordu,-0.14630855499963716,0.04286557708031101,-0.4369947814742805,-0.254095648760572,-0.13958041806958715,-0.3521596671018164,-0.4963137150822009,-0.3281752018068918,-0.414281550037461,-0.2281944729343928
Şanlıurfa,0.021489408647957276,-0.36989049702354215,0.3002682023201297,0.22871143027416085,-0.15013398606538395,-0.2470729031313545,0.6845853709956625,0.2304135905317243,-0.16554397153415693,0.2958238009983223
Elazığ,-0.14531476107998856,-0.18624760355285813,0.4324510534814575,0.6484885473119938,-0.4427253148673441,-0.1687780305511436,0.26189441657965745,0.1521093325640884,-0.13166580440986045,-0.05559311261606247
Mersin,0.21650872686709802,-0.6029044468827105,0.2930905598161072,0.03485943669095478,0.2099323118237428,-0.02394016417897012,0.5567684083722733,0.16526573923157192,-0.2159274292288651,-0.271918656426137
Kocaeli,0.3198570099117642,0.443110361231274,0.09398458348411433,0.31445958611005315,0.28663541590353936,-0.37033159176989133,-0.4527737723532535,-0.3914419353754601,0.10651845917874857,-0.06887930306190751
Iğdır,0.5401284060717936,0.22512011806126406,-0.026066149778686168,-0.5107219049310536,-0.3210341532784021,0.22490376809727214,-0.20769599174579892,-0.017057952875015478,0.31285829154105893,0.31798174043906624
Şırnak,0.2127865979320635,-0.20642219474772888,-0.19168681604689125,0.3263244011408373,0.4004631031308089,0.4408992394499046,0.1386464400445583,0.4149305177307386,-0.3608146982963299,-0.304203941994918
Ankara,-0.4507717138783073,0.2340126572274993,-0.1783112158873681,-0.0481385101339203,-0.08381554444930324,0.2985087013159612,0.2874161989453612,-0.27968039953241103,0.35321450283381844,-0.5711467060149857
Van,0.39668673962853945,-0.3054632820541426,-0.08710929245171238,0.09373417827366264,0.40193144919608187,0.4801441548850397,-0.29077500404365936,0.3396043669570181,-0.010007826052457229,-0.3753518402422171
Tekirdağ,0.2859102395795576,-0.09217103991281927,-0.4494367953793096,0.007539398677874827,-0.2636424218808292,0.6095191792806881,-0.1372291630814851,-0.3528852155846136,-0.1692005390340619,0.3077335880560455
Diyarbakır,0.018846237521168083,-0.15514562211404645,0.09412573238109204,0.44559956213259816,-0.3183473198777948,-0.16979898596929832,0.3792309191744212,0.6808057823476474,-0.16354077566612912,0.06261894002757097
Adana,0.2544447236422032,-0.6411931882857079,0.2614776170322264,0.023868727717125383,0.10551978831240104,-0.2386556973640332,0.5919257059207591,0.1194553289557386,-0.05023102836081948,-0.14117073623545653
Düzce,0.05784444509936287,0.27845542652265715,-0.522863996030242,0.19702916501395368,0.4653223759055147,-0.3706934273910112,-0.2413032630046379,-0.3091445247093467,0.17750890064373614,0.26012266927158423
Çankırı,-0.41592937470653774,0.16414540657306714,-0.7767046030690878,-0.12586602502780386,-0.14272436760715332,-0.17995304504498072,0.09993305003728883,-0.3365256828852619,-0.045976919689097256,-0.053323293850947126
