,0,1,2,3,4,5,6
Balıkesir,0.015270167846542018,-0.3620836232423961,-0.4927302287681367,0.06393768543854,-0.03235443462383,0.754810653060946,-0.22584338462381295
Manisa,0.06236441425680802,-0.4300857136910902,-0.3145184764306989,0.23289337089345377,-0.3959823709698614,0.686026482402757,0.17476095620593748
Yalova,0.18156331252648916,0.22542944939131995,-0.5893134963316836,0.08220079177041764,0.727191060778435,0.021080332102149907,0.18143246811851427
Çanakkale,0.008112127971040991,-0.16370847550974846,-0.42835745814054427,0.010284618595920872,-0.10394050478563262,0.8495116114884462,-0.2388812184182233
Edirne,0.2077739381176367,0.09057243322985074,-0.38590707733159463,-0.14497905854793242,-0.31341406657409027,0.8146914423569825,-0.12935571827192657
Aydın,-0.018239982829821044,-0.6873690209723597,-0.14208624528115946,0.3534334018973426,-0.316793277501982,0.3212053720348105,0.42255956936812206
Çorum,0.017437288851408984,-0.3226024687842771,-0.28291136357903957,-0.24076991415410395,-0.27744877399593615,-0.6138113997257352,-0.551246170293057
Bartın,0.2960511551358579,0.4647907319030216,-0.6377491304878944,0.050137901284526276,-0.42525028376462476,-0.325070649569242,-0.024016566016663573
Denizli,-0.0929019836272374,-0.6269132356673338,-0.15699140017683055,0.3361875268944893,-0.36224608871891933,0.347995540830566,0.4564619789031836
Giresun,0.5558226305620086,0.47065100264755605,-0.2112301173410416,-0.5048012371431869,-0.03512284286013415,-0.3372166616449784,0.2348567533353371
Afyonkarahisar,-0.1898696007226728,-0.6305414613245476,-0.2092466484936824,0.3757276306926314,-0.166500459898716,-0.0414557262706179,0.593271107937401
Samsun,0.5656361548879136,0.09068145448335477,-0.08528038932871135,-0.6388200659608129,-0.3800315138241561,-0.28284611476728183,0.17900535321531427
Amasya,0.5037325478596274,-0.3279748020252118,-0.009199075459408056,-0.37511743942934506,-0.3016097117791514,-0.4827816346700529,-0.4169434111433398
