,0,1,2,3
Balıkesir,-0.5332077972338267,-0.23854085040997905,0.5804600611114701,-0.5673216240451289
Manisa,0.20260475903227276,-0.9744963161964696,-0.07054750763837768,0.0658125406210591
Yalova,-0.4622552883246717,-0.003546423130848569,0.4280307888087336,-0.7765932752288195
Çanakkale,-0.8346190242745731,-0.3017157643157773,-0.3904101880383287,0.24486438483001702
Edirne,-0.8114469412260532,-0.003820111567574735,-0.5556710632871518,0.18102192615210866
Aydın,0.2557283185537285,-0.9612828236252864,0.02831959478553778,0.09867299855514082
Çorum,0.3917885162740621,0.4584399370976051,-0.5393636146292582,-0.5877256790406336
Bartın,-0.5006649805395066,0.0014518566002926247,0.4220335806069765,-0.7557910598927741
Denizli,0.2914978269740162,-0.955824639548745,-0.037275894013298255,-0.006227601982105772
Giresun,0.10388304561191034,0.29914811780835177,-0.7113129315201524,-0.6274971154501996
Afyonkarahisar,0.3596812306253233,-0.9307261777868252,0.021735289498206085,0.06249617195164321
Samsun,0.24475239563668386,0.3814224889486325,-0.7136368051144082,-0.5341681946170465
Amasya,0.3121150144209374,0.3703262904358474,-0.7114005386297736,-0.5092660699696283
Kütahya,0.1984293961521572,-0.9782441206973408,0.058144538454470075,-0.016835311452220083
Bingöl,-0.7978584850241245,-0.10220401073397573,-0.2799969577735297,0.5240017955145445
Ordu,0.17684676039415945,0.2674697275676134,-0.7561372947205981,-0.5704748545778446
Şanlıurfa,0.21759557580453115,0.3098274517152852,0.3266605460035981,0.8659976923979292
Elazığ,-0.7247450598392186,-0.07749058086707351,-0.18108809583446295,0.6602627580460521
Mersin,0.1723484503526791,0.32806141209233003,0.3917903576501103,0.8421235284739496
Kocaeli,-0.38508876589260094,0.059931659534604886,0.3613473528625561,-0.8470790572006637
Iğdır,0.2707820505087785,0.21596690115336525,-0.8335575933511962,-0.4303685830715758
Şırnak,-0.7220317846408633,-0.12414683784325148,-0.15049183970622365,0.6637845062998139
Ankara,0.6957535581369481,0.3827103159491941,0.5610145360192019,-0.2339283881468953
Van,-0.5580940807678069,-0.15083307575539434,0.6250793302818717,-0.5244580165508683
Tekirdağ,-0.8014025167153596,0.21889336065513545,-0.5557550769921662,-0.031240954864089537
Diyarbakır,-0.6920529799015923,-0.13395469219309494,-0.16366666054885332,0.6901681227596405
Adana,0.13405975315147126,0.38958181913425377,0.3474989873086774,0.8423173051792631
Düzce,-0.2847333142900619,-0.005926687606892669,0.6004625441532704,-0.74721920958738
Çankırı,-0.09892130637349328,0.3877758822565312,0.7327903126464347,-0.5503297175122118
Burdur,0.3357233459944826,-0.9367311672289144,0.030569281389514518,0.09428719070771706
Kars,0.3722425134964573,0.22301259271715052,-0.7945938772480914,-0.4246427497029229
Kastamonu,-0.3154421238620139,0.21078388446086546,0.49857980256540296,-0.7794129848923829
Kayseri,0.434777006947606,0.5149629682077715,0.4237229345200048,0.6051784615847452
Artvin,0.3237420821821055,0.2441244648092613,-0.6637398119570592,-0.6285250766112632
Kırklareli,-0.8333659953612383,0.08501421252804238,-0.4808301964606919,0.2589903929017092
Gümüşhane,0.3503563208455697,0.2585157892778385,-0.6610684367510559,-0.6110716464287373
Sivas,-0.10676702487894084,0.19736806693503825,0.7491930211870366,-0.6231825298878865
Antalya,0.6064009409704476,-0.7176197376674623,0.18567360257661475,0.2877935444141507
Erzurum,0.4546125357969754,0.15336173529841046,-0.7120560207652359,-0.5126244665781003
İstanbul,-0.6534189477880371,0.6217106521124067,-0.34288044236841225,-0.2625881679794093
Bursa,0.11533185845228433,-0.9218946114021584,-0.27029106670121056,-0.25249084568579383
