,0,1,2,3,4,5,6,7
Balıkesir,0.3105292170421433,-0.3197549748749984,-0.522604530376861,0.22249453648297715,0.3413959618701334,0.08697518396001201,0.45758765128046885,0.38105997357397786
Manisa,0.4907691002465799,0.2345562544360616,-0.04028750960027237,0.47082064242269644,-0.08873622627322814,0.13416579705316395,0.6563618088489628,0.15539784399845624
Yalova,0.11124814268266622,0.49461975337406966,-0.619462587201136,0.21336027852093423,0.3394107675496296,-0.013216557212606377,-0.4350581894086584,0.09522956602155151
Çanakkale,-0.09194342455837706,-0.345281374995981,-0.44575082829424806,0.34404787615292215,0.24498658379947305,-0.04943201662965651,0.1825812971136594,0.6778396242368108
Edirne,-0.33500862777103846,-0.19854897820498596,0.213202876161391,-0.025359747426192875,0.5384758033053405,-0.24685398913019568,0.2709830050813776,0.6147552908612953
Aydın,0.5481598342892876,0.19271236497042435,0.003273603216231292,0.3145657211950524,-0.1587200855286827,0.13119788746061212,0.7149977853791273,0.09896285519855105
Çorum,0.5087898371668409,-0.003944873506801568,0.1474756472350955,-0.7316423403078471,-0.18060360942097162,0.3505208777155933,-0.12480537249662714,0.11405625127886024
Bartın,0.41140803037448215,-0.05153331614093739,0.42840442527055755,-0.3374128331724396,-0.01311764358798928,0.24306560363903293,-0.37537176073704037,0.5749374394536533
Denizli,0.3830566399450649,0.3391673882140708,0.12755799542520338,0.47426033958838826,-0.282861968902115,0.15889200994100922,0.616185549881149,0.10998629599201912
Giresun,0.002865547905804198,0.7329899905984457,-0.18995977178951998,-0.20948158149639332,0.3390538092816562,-0.20116897477357973,-0.4732980035763153,-0.0575566872218397
Afyonkarahisar,0.13209130661507537,0.12948635975443284,-0.07364020519949076,0.47167339808214637,-0.5705001728755056,0.2575828709708281,0.43493183749779013,0.3961078251389708
Samsun,0.3550805296819386,0.41791405829085815,0.021998332177068005,-0.5034520478441118,0.11481824413937741,0.18016665984997668,-0.5477946000768038,0.3155876864590953
Amasya,0.6750073723803037,0.010829987118834275,0.2140092543556531,-0.6445557440420476,-0.021254441165961365,0.09857888348444832,-0.22634728470084614,0.14694573710734177
Kütahya,0.25290299539356575,0.13330007203265662,-0.19981839828354034,0.5791765404797925,-0.4146889347078341,0.2674624967939354,0.12491071651627324,0.5327218049989484
Bingöl,0.3500735611846208,-0.2026023888355908,-0.1527727779625627,0.2434869001203996,0.20532267893951658,-0.15184173347582805,-0.48775896054786344,-0.6713071305106281
Ordu,0.18753198742765806,0.6359045423725456,0.020778036301708585,-0.3844041394443103,0.4171772842060165,0.1990811887378493,-0.378515519826443,0.23519075779174498
Şanlıurfa,-0.016869569602823733,-0.4745619663850638,0.3707570652187866,0.4886515856757351,-0.22127412092830062,-0.05318265807534683,-0.26171326449989946,-0.5272387690234411
Elazığ,0.25206131260608877,-0.4561269300972754,-0.041854364006031,0.23827996454599193,-0.17714092330397316,-0.4612887162276128,-0.3383141017741285,-0.557908210326577
Mersin,-0.42738035812569947,-0.365625442721825,-0.12116512618049853,0.12291514982300253,-0.13108067860262823,0.33805589347849024,0.05428996895706536,-0.7207382403595957
Kocaeli,-0.24206035874402201,0.16692287856051075,-0.4665735442717149,0.05378260800506665,0.11599821223774916,-0.2420208791651668,-0.41102325263389555,0.6723022302504361
Iğdır,-0.12373120070137185,0.01655052385636255,-0.13608874368730117,-0.25939725470736713,0.2326800588733572,-0.728126578111966,0.5133391189487736,0.2253535303284974
Şırnak,0.20474595401648665,-0.4375570255935189,0.14261437631686077,0.1719742138333438,0.6456274137002728,0.25848995152023896,0.2518730374593377,-0.4118459830501637
Ankara,0.18053084921759116,-0.397933661715757,-0.31380976238104996,-0.6458877495814798,-0.40353503212300407,0.3168524033194276,0.05376733370315363,-0.1651755657348512
Van,-0.0710298671262829,-0.2849206817347348,-0.41919345614804243,0.249194145099355,0.634197839287347,0.22460665306174357,0.4456538989353102,-0.15713574346441872
Tekirdağ,-0.4301753626907073,0.03732204279370341,0.166416494509853,-0.12239911047297436,0.5541299666531069,-0.28178530548528236,-0.04030376994893722,0.6187025604954257
Diyarbakır,0.25717961551268814,-0.46417856927316253,0.09729212672564054,0.5483199073178947,0.10262934671537871,-0.16552568178983404,-0.21081423041049593,-0.5708784884943368
Adana,-0.5367186077895897,-0.25098310299987364,0.20819016534007947,0.3312345148613659,-0.1320301602056954,0.0991550545642396,-0.1424403881049891,-0.6695731603552421
Düzce,0.017786174335098562,-0.10559782815100519,-0.12864117685371496,-0.09015452237271646,0.0402807376635062,0.19431908977074758,-0.5139977641403737,0.8125762809659162
Çankırı,0.25743345540374746,0.015936377821215875,0.44983139070451833,-0.6753301243309481,0.07681275727648777,0.4272648806148029,-0.24861014096043949,0.1574563778741392
Burdur,0.2688444620201808,0.2618330743848278,0.21719219704257564,0.5237148248146614,-0.3827103294795197,0.11960570863153157,0.5900385747880523,0.16970028475800164
Kars,-0.260080083901687,0.04322434896399933,-0.1517505506747088,-0.2765036831776423,-0.09784857490953389,-0.821213453751619,0.3520075365408069,0.1520930739956082
Kastamonu,0.2786421213375642,-0.254459933371354,0.30740650611079384,-0.6746310587728338,0.018111448486035124,0.13886872445886045,-0.27888462847351986,0.458904894141522
