,0
0,2840.998665261566
1,2293.6635498032083
2,2205.373124837214
3,2149.748083333913
4,2104.2286779355836
5,2065.5193030888618
6,2042.9252902644873
7,2016.0076454857895
8,1992.37241027819
9,1976.4457475705478
10,1968.4083156839467
11,1961.134727039753
12,1952.1797739302299
13,1950.0638342908392
14,1944.7950572484492
15,1937.3346727639594
16,1934.0164169878346
17,1929.9821028776564
18,1927.4619204567791
19,1919.1282345619447
20,1916.0486813927812
21,1907.6784388921858
22,1907.9088194587682
23,1903.4196584439346
24,1902.1694829534638
25,1899.2482841510287
26,1896.139782193872
27,1893.9287221190384
28,1892.1195487888247
29,1891.670189361729
30,1888.5157190416844
31,1889.5520918486948
32,1890.1795478495376
33,1886.3521047487613
34,1888.5518770836875
35,1888.4401229258226
36,1885.3880627804008
37,1885.1564759788232
38,1886.0609570369145
39,1882.728093734457
40,1884.4238715556755
41,1883.825651801859
42,1884.2129599797506
43,1885.0490240910572
44,1883.3043611369324
45,1883.1674210406861
46,1883.5894660787958
47,1883.268789150856
48,1882.883571253797
49,1883.5901352945643
50,1882.784058950489
51,1884.0456407835532
52,1883.4036754057904
53,1884.0888439917176
54,1882.2331567420813
55,1883.3442386465833
56,1883.2628299952994
57,1881.2048013205442
58,1883.506567122066
59,1883.5882190359112
60,1882.5157642552822
61,1882.269442789952
62,1883.4059891804127
63,1882.031755417335
64,1882.5239299784796
65,1883.8215670183247
66,1881.9782743548187
67,1883.041842314376
68,1882.7886602595502
69,1882.71213361134
70,1882.1701209105127
71,1883.5182897653417
72,1882.605398770711
73,1882.1595342705994
74,1882.2878019901095
75,1883.7247613133823
76,1882.3133837047774
77,1882.2637491504966
78,1883.0969839490015
79,1882.0489762706045
80,1882.7731291263956
81,1882.617872508051
82,1884.8407453463333
83,1883.3130253112336
84,1883.158080287604
85,1882.3929600945037
86,1883.9003620289627
87,1882.2081970254528
88,1881.7585282690807
89,1883.3117977419124
90,1882.02861541543
91,1883.0827428962843
92,1882.2080244784227
93,1883.5310797584782
94,1882.463418114173
95,1882.9973245049987
96,1882.6348451411918
97,1883.3593588986496
98,1883.082225319575
99,1882.689909134225
