,0,1,2
Balıkesir,-0.7469591124862246,0.43909061628491963,-0.4992509538942528
Manisa,-0.7283306125177789,0.492610704146913,-0.47630789729896283
Yalova,0.5879858379147824,0.5920739447830929,0.5511089713664972
Çanakkale,-0.545404936497153,-0.8271918414814128,0.13522985110960437
Edirne,-0.7441793423189452,0.42720234453720207,-0.5135126710098397
Aydın,-0.6745025083849255,0.6010093104357216,-0.4287588774031649
Çorum,-0.3009058812079396,-0.8236376379197318,0.4807043707482573
Bartın,-0.4073710210352938,-0.858135601520753,0.31249342492807347
Denizli,-0.7479394478683297,0.5276172274347709,-0.4027488592615297
Giresun,0.7607188411679062,-0.401710150223257,-0.5098389940949654
Afyonkarahisar,-0.7721752322030724,0.5127548596631548,-0.3752703887385061
Samsun,0.575305029049851,-0.5543963831074022,-0.6013890371027565
Amasya,0.3368722435352773,0.3118719912135213,0.8883990953574987
Kütahya,-0.7996139652685353,0.43020182361319675,-0.41897959080056585
Bingöl,0.8511162435166877,-0.02873929411555272,-0.5241900351931371
Ordu,0.581691427497556,-0.4810578923666751,-0.6559103500994536
Şanlıurfa,-0.5645496646591776,0.7934468110282757,-0.2274331422688214
Elazığ,0.8431992370280513,-0.043726212289916105,-0.5358199931265064
Mersin,-0.333526865915117,-0.22127576156171996,0.9164043141856767
Kocaeli,0.13375227533373393,-0.6896170315700136,-0.7117153072764502
Iğdır,0.5767648369290408,0.6774518095462663,0.4565099874314979
Şırnak,-0.4731429125718086,-0.357734364003624,0.8050850322133609
Ankara,-0.48672258128224966,-0.5922837726288541,0.6421067368829545
Van,0.32238478495688627,0.7196191817180978,0.6149929135621626
Tekirdağ,-0.34767495088836814,-0.8926508108836373,0.2868739415728719
Diyarbakır,0.7278449647978256,0.03359789656824991,-0.6849181619468426
Adana,0.32911109266880884,0.5942084103459864,0.7338952607534939
Düzce,-0.3847433072442528,-0.8942381423900353,0.22871539568986946
Çankırı,-0.32382091090143794,-0.836631793450865,0.44180002246508787
Burdur,-0.6966385471240969,0.6189608209217375,-0.3627426592292616
Kars,0.47092951043898507,0.704177406927815,0.5313751742132071
Kastamonu,-0.3820117239442475,-0.8300957180564079,0.40621194176631553
Kayseri,0.3731712456032655,0.49673434358934293,0.7835803809142826
Artvin,0.7797654786958492,-0.20585609879000213,-0.5912605726963315
Kırklareli,-0.7657528799516969,0.4048919830971531,-0.49968490958736844
Gümüşhane,0.8360690002876813,-0.18829458845247227,-0.5152996940785737
Sivas,0.9271784855669486,-0.08012510931274058,-0.3659508474637013
Antalya,-0.79584972905179,-0.2293766040480965,0.5603655791387931
Erzurum,0.7711591252586374,-0.0538770169464214,-0.6343586293062372
İstanbul,0.24666782067187382,-0.6848609205689786,-0.6856533422381891
Bursa,-0.5214260375664134,0.4708637322480825,-0.7116194439454245
Eskişehir,-0.7414175502926192,0.5229637362352627,-0.42048655947716806
Konya,-0.6770038265516424,0.6611873268355152,-0.3232601702445561
Yozgat,0.29698633253653506,0.4127574811618078,0.8610635168391808
Sinop,-0.2610302206153765,-0.9257017791599527,0.2737506894705219
Isparta,-0.7459162579908555,0.5641306552244201,-0.354069964697637
Aksaray,0.23219785236282223,0.5713190313631024,0.7871967490789196
Ardahan,0.7718608807634934,-0.06880380728858015,-0.6320576056417646
Adıyaman,0.47469153877412446,0.5725432691375192,0.6684774850221781
Kahramanmaraş,0.4254530190498527,0.5468577574596066,0.7210661007755224
Osmaniye,0.33961714312458585,0.578186658803842,0.7418627795469619
Niğde,0.8517469246058867,-0.06372007029396333,-0.5200643508895282
Tokat,0.41353747630152743,0.2938350587444944,0.8617701050435569
Bilecik,-0.7606318244515445,0.41716378455712094,-0.49740688021527685
Muş,0.7242760621586263,-0.01178690597509044,-0.689409352004691
Ağrı,0.3882274534420074,0.8308518497695556,0.39870370969987445
Hatay,0.31248369614846644,0.6863926199120907,0.6566727579027544
Kırşehir,0.3006518646480472,0.5154669459395915,0.8024352210162278
Bayburt,0.8885652082023848,-0.04333888827067929,-0.45669860032160586
Erzincan,0.694512808819495,0.5207095226298672,0.4965013106007186
Siirt,0.7585530273092799,-0.08434075665000847,-0.6461299726275131
Karabük,-0.42934621793247535,-0.8235764242144313,0.3706530704381798
Kilis,0.49187917379983015,0.5354993565533728,0.6865095174234076
Malatya,0.8804963828503475,-0.04791622656336739,-0.4716250152604104
Uşak,-0.7312411555622437,0.5559113682514161,-0.39528334528643244
Karaman,-0.4760731633769091,-0.569769982403129,0.669863053365866
Bitlis,0.7211614742684053,-0.0495392351143326,-0.6909934820353281
Gaziantep,0.4389366850987932,0.5954920890729211,0.6728475000518697
Rize,0.744065908813481,-0.25614127235327994,-0.6170555663299792
Hakkari,-0.49243359962202493,-0.5720035287140158,0.6559886531808377
Batman,-0.5831694408164254,0.6811908445378076,-0.4425973752924052
Mardin,-0.6424905549118543,0.662848962584288,-0.384495955310314
Muğla,-0.7350446865090111,0.5589585206931185,-0.38376383490296523
Zonguldak,-0.475077938951113,-0.8455170270288151,0.24372506831739021
İzmir,-0.6157153492424885,0.5778104793547694,-0.5357514896432971
Kırıkkale,-0.3188752781114314,-0.7512532048058528,0.5778729784981236
Sakarya,-0.7646381401819361,0.2429705587812303,-0.5969035283399207
Nevşehir,0.3317325006239443,0.5283589269172754,0.7815308006576644
Tunceli,-0.3144473788291332,-0.6660139363425038,0.6764231534661204
Trabzon,0.7652003851365882,-0.3034111408097867,-0.5678116326910895
Bolu,-0.39734119209065455,-0.8512017120626245,0.3428930189572756
