,0,1,2,3,4
Balıkesir,0.7049760857045929,-0.17078602310892507,0.48414203365128344,0.423489081303416,-0.24516186931098463
Manisa,0.6667164783773206,-0.3380585518513775,0.5569025925881073,0.33275483357457963,-0.1426158339094647
Yalova,0.8460922658450204,-0.24414349681708847,0.3219632679378214,0.34730379195564476,0.015542227356217462
Çanakkale,0.6910074115461109,-0.0936306458740562,0.4653586341807954,0.5187316617227401,-0.1676331234013731
Edirne,0.35762925103454335,0.05214149191608565,-0.790614270589838,0.4509184246594143,0.20244562990493725
Aydın,0.5700823304014111,-0.29111406929619643,0.5977502519756046,0.4416228573701208,-0.19473731879960066
Çorum,-0.10224602039941227,0.3086936448605436,-0.136265323079701,-0.4795895992097283,-0.8035418862704248
Bartın,0.29610549169084005,0.674869400886665,0.05796329619798752,-0.6705538565267456,0.062214237344622746
Denizli,0.4658404594286582,-0.2340216495819886,0.6496800696279152,0.5225403666200708,-0.1819173061230043
Giresun,0.2254657209267347,0.30885140725467986,-0.8952117016085106,0.1609494471545701,0.16268774289301846
Afyonkarahisar,0.3337853804084101,-0.047204817780959044,0.7068624692134959,0.587319590988406,-0.20435305885278743
Samsun,0.2665680722260002,0.7861624864972675,-0.2673285500628412,-0.48900742568995753,0.017239246953613667
Amasya,0.15401895200786805,0.7380198237579696,-0.03722405210607693,-0.6442891107038267,-0.12292605068060322
Kütahya,0.5745698146486784,-0.03880349613121187,0.6787273964723557,0.4097385405621609,-0.1995175842837578
Bingöl,-0.14408072625685958,-0.8185151823060293,-0.15458941998232323,-0.4258420067433043,0.3225435430731613
Ordu,0.368880702104474,0.7187694149749239,-0.3430690086541239,-0.475539978943266,0.05884674535801402
Şanlıurfa,-0.7616983223100052,-0.06705214714546028,0.4189050543073179,0.2341588140821508,0.43012542428544115
Elazığ,-0.3138906058346268,-0.7411062908993665,-0.21063891334993767,-0.43925783305714033,-0.3389955124169897
Mersin,-0.8230239491843583,-0.2147856366020205,0.3191543886693019,0.10094588869373437,0.4055232584296542
Kocaeli,0.5445009004336323,0.6451623135681321,-0.13308214722686879,-0.27892410456268657,0.4379210483200923
Iğdır,0.27055284699959786,-0.06101259180682847,-0.7830171368668937,0.5319052055854085,0.16443733233466803
Şırnak,-0.18984812188826838,-0.7943124003954275,0.04599714555022729,-0.40752386554360015,0.4059976142875529
Ankara,-0.2674553898134505,-0.042401823871853636,0.006565374514560565,-0.2479396203634311,-0.9301357644471031
Van,0.22990763404760137,-0.8241154780947951,-0.16150013212458533,-0.3255979322210731,0.36861884437495146
Tekirdağ,0.38141339513053935,0.1772864610245539,-0.8351128186613909,0.2792885668086524,0.21835248867319965
Diyarbakır,-0.08797149424207638,-0.8255543465127652,0.10310738940888133,-0.3623905176467834,0.41080776054461254
Adana,-0.8264377436302522,-0.14978939899281593,0.33664886759019114,0.24888412579139527,0.34538098345450785
Düzce,0.36438204659809464,0.697685232021031,0.12420131000377861,-0.5817128418348562,0.1632337139640755
Çankırı,0.013611841270433404,0.6677680951656221,-0.029780466543038727,-0.7296960204992324,-0.14337827707211537
Burdur,0.10751002787935335,-0.08455722113565532,0.7844567975310156,0.6039019703670898,0.03495158441797572
Kars,0.29044071186758635,-0.7922189256658362,-0.37439880708169126,-0.2990590644395429,0.24170762490883413
Kastamonu,0.20567969274532774,0.7607748670774922,0.09302357169822356,-0.6071856754332771,0.03987024294574168
