,0
0,2683.353276169802
1,2137.0179198062383
2,2050.6377282428466
3,1995.649339921053
4,1955.819849825722
5,1926.1501636965959
6,1898.3615318418463
7,1876.9623349927515
8,1856.0155846872915
9,1842.1785427362993
10,1824.5005242253314
11,1810.2219918472276
12,1794.5295783336476
13,1785.397689316916
14,1775.8902125561006
15,1768.5864580570485
16,1763.8864356379404
17,1758.9378816528492
18,1753.666230870032
19,1750.3156003417446
20,1750.1954752357185
21,1744.6867948940755
22,1739.497772288629
23,1736.189052478694
24,1733.2411626189141
25,1732.3161326514216
26,1727.3799200760322
27,1725.4675614076295
28,1720.886808523725
29,1719.9655534362967
30,1719.8572925875148
31,1719.2694394579237
32,1715.8558497043396
33,1716.9044259696993
34,1714.5791931154095
35,1716.4614771601332
36,1716.577406442658
37,1715.3708379506352
38,1714.7505196349805
39,1715.7030966624395
40,1716.1445332610683
41,1716.157232593148
42,1716.5094406676142
43,1714.0605518440423
44,1714.4482124344204
45,1713.403094458395
46,1712.505212740603
47,1711.224957073444
48,1712.193393594852
49,1711.1557406066236
50,1712.8097615166068
51,1710.7889200307284
52,1712.4894184465209
53,1712.7663202009826
54,1711.9967961715383
55,1711.059220096954
56,1710.5185786898808
57,1711.536596799308
58,1711.2856272164472
59,1711.8219014171455
60,1711.02759965416
61,1710.4316705816318
62,1710.7722142930022
63,1711.384036603193
64,1711.2686716178923
65,1709.2299414010295
66,1709.7562320565812
67,1711.3428884884725
68,1711.3389318161974
69,1710.36974023379
70,1711.1612197882762
71,1711.174833398331
72,1710.8030221442102
73,1710.1217186681843
74,1708.4843117859878
75,1711.096387332518
76,1710.896196958299
77,1710.4022659071652
78,1710.1476076012154
79,1711.232069132723
80,1709.4499423038317
81,1710.2685797008262
82,1710.4351965411329
83,1710.3221957651688
84,1708.7327207670671
85,1710.076698295517
86,1710.1322015342507
87,1709.1926508641588
88,1710.8916071621445
89,1709.5678682914286
90,1710.9985851570955
91,1709.9027336846937
92,1708.1081530880886
93,1710.8890699804404
94,1710.016315659803
95,1709.676185368735
96,1709.4845038960098
97,1706.2763288956987
98,1706.467889512935
99,1706.9352682922656
