,0
0,4313.363520976311
1,3980.2057845672143
2,3901.5168472103283
3,3854.035472241497
4,3826.0729423198954
5,3811.738031164119
6,3793.0569047949066
7,3770.9648180019176
8,3755.0265032280863
9,3747.2117769041274
10,3743.8341915702845
11,3735.800828763338
12,3729.1347750225686
13,3724.5010379848286
14,3722.717686261961
15,3722.297021465359
16,3720.3348472637554
17,3720.4050414357553
18,3716.694661230414
19,3717.992503711084
20,3718.466200148036
21,3721.048831616422
22,3716.909717280779
23,3719.4968930796445
24,3717.393997867531
25,3719.279629447539
26,3720.858582595045
27,3717.8332833540244
28,3718.4349642703105
29,3721.7134813435796
30,3720.146339662476
31,3719.536932450779
32,3718.646937334511
33,3718.6909617836895
34,3718.915206759528
35,3719.940779598275
36,3718.911434255568
37,3719.5208707550755
38,3718.692681763142
39,3719.564525052263
40,3719.88538117157
41,3721.2077807250835
42,3720.036918776412
43,3718.42135946067
44,3717.4222915546093
45,3717.177275265623
46,3719.7503244113727
47,3718.1385968369564
48,3720.829359165212
49,3717.5302514544587
50,3722.2530684654485
51,3717.7870283152447
52,3720.5683760318616
53,3717.9829998032633
54,3720.2163420377906
55,3718.969440288246
56,3719.3733888206198
57,3721.0051715668433
58,3718.5193459590178
59,3719.0306142541485
60,3719.544156520145
61,3718.79340618313
62,3718.489139795389
63,3718.526891827549
64,3719.5057105494584
65,3718.638603495901
66,3718.809674169464
67,3718.8084341350827
68,3719.1225426727797
69,3719.1798343648334
70,3719.913210186342
71,3717.4550089823297
72,3721.519914344749
73,3718.2589079949553
74,3718.838524759332
75,3720.1038294068107
76,3720.432035993232
77,3717.6769944443713
78,3718.9523732061
79,3719.2180217630475
80,3719.244905703401
81,3720.857829990997
82,3720.435138148788
83,3720.1437460288994
84,3719.1820177327822
85,3718.932748979452
86,3719.530573638832
87,3719.630802587605
88,3718.258938291011
89,3719.092435848966
90,3718.1924565841496
91,3718.405428134064
92,3719.6383349422017
93,3718.823494245111
94,3720.2507077935225
95,3721.0496624541997
96,3718.61946840226
97,3718.116799667375
98,3718.6280690449194
99,3718.462797995961
