0,1,2,3
Adıyaman,Adana,0.35705606564599124,22.56967193907265
Afyonkarahisar,Adana,-0.44872245313722237,-13.735536130083462
Aksaray,Adana,-0.04418896010810009,-1.3301310277524263
Amasya,Adana,-0.5214037918034623,-11.470222206321763
Ankara,Adana,-0.20162037756284443,-17.773547728321628
Antalya,Adana,0.12151131901728228,9.409708824848494
Ardahan,Adana,-0.6303961100580304,-9.321228323270864
Artvin,Adana,-0.4769589408941563,-8.40106724908917
Aydın,Adana,-0.4928867642408562,-14.903691924889557
Ağrı,Adana,-0.4291852537814401,-13.983585146424106
Balıkesir,Adana,-0.536788725473546,-17.428659430667352
Bartın,Adana,-0.7968567783140903,-9.857968455927008
Batman,Adana,0.11007124773189347,4.871098801251847
Bayburt,Adana,-0.6714882858239295,-7.888044265343934
Bilecik,Adana,-0.6228882370767391,-10.064690948314226
Bingöl,Adana,0.14993468442814578,4.9818945660049
Bitlis,Adana,0.2642253024434929,14.588330903983104
Bolu,Adana,-0.25247676300359806,-5.926135247068631
Burdur,Adana,-0.4417134239278276,-8.58093304142322
Bursa,Adana,-0.35219594778375324,-16.256918282936788
Denizli,Adana,-0.3643597801126582,-11.174405083046336
Diyarbakır,Adana,0.3364356096050159,31.424650484887465
Düzce,Adana,-0.4698601418809107,-8.444068058456622
Edirne,Adana,-0.4275567230410428,-10.016178569804673
Elazığ,Adana,0.19113949602061425,9.097711922161636
Erzincan,Adana,-0.4324545013879009,-9.250886068423172
Erzurum,Adana,-0.4428799737857624,-18.10274757380471
Eskişehir,Adana,-0.3076871545538721,-9.830206652749473
Gaziantep,Adana,0.33846363433856913,27.57248593507873
Giresun,Adana,-0.5366202256512557,-13.35916077940273
Gümüşhane,Adana,-0.5338815116494288,-9.273895477467578
Hakkari,Adana,-0.09470329219131354,-2.0203485484310106
Hatay,Adana,0.5551205506808651,63.65251667798825
Isparta,Adana,-0.2744961292970162,-7.836575377605488
Iğdır,Adana,-0.4757146258344314,-8.716005194521925
Kahramanmaraş,Adana,0.5530399261663218,55.753924411979575
Karabük,Adana,-0.6358261864335626,-10.014431114822692
Karaman,Adana,-0.18367247146606913,-3.9162287482702998
Kars,Adana,-0.42519052745186575,-11.131460744736712
Kastamonu,Adana,-0.6416820776619112,-12.967290283178915
Kayseri,Adana,0.3700425278079115,28.043664999418713
Kilis,Adana,0.22000582036943267,5.347626479386249
Kocaeli,Adana,-0.4570664067781956,-18.097966735320405
Konya,Adana,-0.058271911036711775,-3.739179615574064
Kütahya,Adana,-0.5691444810573265,-15.007304693440954
Kırklareli,Adana,-0.3132553805462742,-7.011590694004893
Kırıkkale,Adana,-0.5936453331296045,-13.455763923254327
Kırşehir,Adana,-0.5160201547047217,-10.573596062489965
Malatya,Adana,0.18010135146619494,10.329224395540233
Manisa,Adana,-0.42607881014087323,-15.930135450651845
Mardin,Adana,0.5168686988575999,61.60242913804923
Mersin,Adana,0.6609011008115075,124.19350175208533
Muğla,Adana,-0.10682095502088106,-4.304480701032087
Muş,Adana,-0.19893369952285106,-7.498465746126024
Nevşehir,Adana,-0.06270485110514532,-1.7225605192419875
Niğde,Adana,0.6495438307577784,61.46666472239126
Ordu,Adana,-0.7948039521662488,-22.168256559111715
Osmaniye,Adana,0.8017321372389462,145.0629800577766
Rize,Adana,-0.6038185764351852,-12.406146078327872
Sakarya,Adana,-0.4204065150994835,-12.03508538042473
Samsun,Adana,-0.6229264514221198,-21.920326091114703
Siirt,Adana,0.24821391157371517,10.391037529184127
Sinop,Adana,-0.6903392886873828,-11.121748757848852
Sivas,Adana,-0.23714191283282687,-9.417280015858342
Tekirdağ,Adana,-0.4041822779254663,-12.177471946317961
Tokat,Adana,-0.6318204407844329,-20.733066778356555
Trabzon,Adana,-0.5229419631981326,-15.910425952264811
Tunceli,Adana,-0.051940814826833666,-1.0746500639224967
Uşak,Adana,-0.43400244972515784,-8.56052272943767
Van,Adana,0.011613073170660104,0.5760514485704558
Yalova,Adana,-0.6743263571077449,-9.120784349738406
Yozgat,Adana,-0.5214873587545138,-16.73884411219861
Zonguldak,Adana,-0.6622447009279713,-15.638130564014656
Çanakkale,Adana,-0.30513465630242764,-7.826366875451938
Çankırı,Adana,-0.6948908705364276,-12.374106752166727
Çorum,Adana,-0.6982708391349721,-17.92937381819743
İstanbul,Adana,-0.37135965214844135,-55.78018319033882
İzmir,Adana,-0.2950899303012667,-19.957025310936963
Şanlıurfa,Adana,0.5620916140013819,70.01230396851311
Şırnak,Adana,0.46271953788344783,30.426496563172783
Adana,Adıyaman,0.4781821873006242,31.845089841010914
Afyonkarahisar,Adıyaman,-0.262837170274452,-4.6585738420496
Aksaray,Adıyaman,-0.5288476584478333,-5.487784350828739
Amasya,Adıyaman,-0.6611387587431241,-6.723553990168288
Ankara,Adıyaman,-0.27438977699845807,-11.505817953748679
Antalya,Adıyaman,0.09844743368491486,3.7485050023224913
Ardahan,Adıyaman,-0.31346715918670187,-2.9040622362749966
Artvin,Adıyaman,-0.8351704236403602,-5.975826180204132
Aydın,Adıyaman,-0.364418188300007,-6.085033582911774
Ağrı,Adıyaman,-0.46252571403257303,-7.432998379130062
Balıkesir,Adıyaman,-0.3449566630336133,-6.45897152845329
Bartın,Adıyaman,-0.733691354726259,-4.748288639173707
Batman,Adıyaman,-0.10661162431218392,-1.9150530219632829
Bayburt,Adıyaman,-0.8540737062270025,-4.565467972472728
Bilecik,Adıyaman,-0.30683553352808834,-3.107698146940615
